latency_case,latency_sample_index,sample_uid,video_id,decision,fs224_mean_ms,fs112_mean_ms,fs112_div_fs224,fs112_minus_fs224_ms,fs224_repeats_ms,fs112_repeats_ms,question
case1_high_confidence,0,case1_high_confidence_0,8QdE--Y-x7U,accept_fs224_high_confidence,306.592079,,,,"[181.98561400001267, 369.2248830000153, 368.5657409999976]",,"Where is the harp player, respective to the people on the stage?"
case1_high_confidence,1,case1_high_confidence_1,QB7FoIpx8os,accept_fs224_high_confidence,294.410981,,,,"[163.92249900002298, 367.00406199997815, 352.30638100000533]",,What color is the inner layer of clothing worn by the second speaker in the video?
case1_high_confidence,2,case1_high_confidence_2,Za2Z_JRxCuk,accept_fs224_high_confidence,182.690387,,,,"[168.98724499998252, 215.60329899995168, 163.4806160000153]",,Which sentence best describes the outcome of the fight between the protagonist and the second time she encounters a group of Samurais?
case1_high_confidence,3,case1_high_confidence_3,_T2Avd3tFHc,accept_fs224_high_confidence,301.054372,,,,"[161.4047609999716, 372.758943000008, 368.99941199999375]",,What is the name of the elder who joins the vlogger on their travel?
case1_high_confidence,4,case1_high_confidence_4,q01CUy_gwdU,accept_fs224_high_confidence,163.227224,,,,"[168.6392480000336, 160.0057620000257, 161.03666099996872]",,What does the woman do before throwing the Coca-Cola can into the air?
case1_high_confidence,5,case1_high_confidence_5,8NHmfpkxTSw,accept_fs224_high_confidence,371.971606,,,,"[369.0543500000558, 368.76056300002347, 378.0999049999991]",,Who is the green sculpture directly behind the stage?
case1_high_confidence,6,case1_high_confidence_6,KbahC-QCKU8,accept_fs224_high_confidence,382.501088,,,,"[421.94203499991545, 375.44433599998683, 350.1168929999494]",,What brand of goggles does the vlogger family have?
case1_high_confidence,7,case1_high_confidence_7,lDlA7cfNk8A,accept_fs224_high_confidence,327.451931,,,,"[339.08987699999216, 260.40643700002875, 382.85947899998973]",,The stool on which the winner sits is ___.
case1_high_confidence,8,case1_high_confidence_8,moALQl818ZY,accept_fs224_high_confidence,429.871848,,,,"[356.5082139999731, 491.82658199993057, 441.28074899992953]",,What events did the host report on after the report with the keyword of MARKET?
case1_high_confidence,9,case1_high_confidence_9,f8DKD78BrQA,accept_fs224_high_confidence,406.313460,,,,"[380.0533659998564, 415.53334600007474, 423.3536679998906]",,What type of video is this
case1_high_confidence,10,case1_high_confidence_10,TZ0j6kr4ZJ0,accept_fs224_high_confidence,524.188783,,,,"[451.9934259999445, 566.1821440000949, 554.3907799999488]",,Where is the person with the number 9615 on their chest being interviewed in the video?
case1_high_confidence,11,case1_high_confidence_11,xi6r3hZe5Tg,accept_fs224_high_confidence,434.092489,,,,"[445.0772790000883, 443.1994340000074, 414.00075299998207]",,What color is the device that Mark Wong wears to monitor his health?
case1_high_confidence,12,case1_high_confidence_12,hROKtPqktO8,accept_fs224_high_confidence,385.921943,,,,"[448.44569399992906, 386.5631339999709, 322.7570019998893]",,What are the words on the warning sign the vlogger first notices?
case1_high_confidence,13,case1_high_confidence_13,evYm0cELO3I,accept_fs224_high_confidence,380.836061,,,,"[364.5177539999622, 398.7680939999336, 379.2223360001117]",,Who is Shay?
case1_high_confidence,14,case1_high_confidence_14,vZV2WCKMsKs,accept_fs224_high_confidence,440.321419,,,,"[416.62338799983445, 457.1353309997903, 447.20553800016205]",,"Who is the woman wearing a tall hat, dressed head to toe in black, holding a magician stick, and the dog wearing black clothes with a silver star?"
case1_high_confidence,15,case1_high_confidence_15,wgBlACG927Y,accept_fs224_high_confidence,553.760509,,,,"[551.0835359998509, 505.2700639998875, 604.9279270000625]",,What means of transportation do the vloggers take after getting off the high-speed train?
case1_high_confidence,16,case1_high_confidence_16,wgBlACG927Y,accept_fs224_high_confidence,485.020804,,,,"[483.35754899994754, 511.03606500009846, 460.66879899990454]",,How many pieces are in the purple roll dish the vloggers shoot at the dinner?
case1_high_confidence,17,case1_high_confidence_17,Za2Z_JRxCuk,accept_fs224_high_confidence,158.996756,,,,"[151.201393000008, 169.50265100001616, 156.2862249999739]",,Does the protagonist wear a pair of glasses in the video?
case1_high_confidence,18,case1_high_confidence_18,wNCPgIVz15c,accept_fs224_high_confidence,414.983004,,,,"[404.5880880000823, 415.0762770000256, 425.2846459999091]",,How many different outfits has the American man worn in total in the video?
case1_high_confidence,19,case1_high_confidence_19,wgBlACG927Y,accept_fs224_high_confidence,472.463663,,,,"[415.3495020000264, 465.77947199989467, 536.2620139999308]",,What animal statue is under the Dong Men Ding Food Street sign?
case1_high_confidence,20,case1_high_confidence_20,iA_69g87Ilw,accept_fs224_high_confidence,381.694944,,,,"[376.5705240000443, 377.213121000068, 391.30118699995364]",,What is in the top shelf of cabinet that the vlogger opens right after he checks the cooler for the first time?
case1_high_confidence,21,case1_high_confidence_21,TiQBTesZUJQ,accept_fs224_high_confidence,446.544241,,,,"[483.86644799984424, 442.08179199995357, 413.68448200000785]",,___ is an insect appears in the video.
case1_high_confidence,22,case1_high_confidence_22,KktLi3UifPY,accept_fs224_high_confidence,393.817422,,,,"[386.872360000325, 419.30215000002136, 375.27775599983215]",,How does the male host feel on the ship?
case1_high_confidence,23,case1_high_confidence_23,-WnyRMZqV1U,accept_fs224_high_confidence,312.493824,,,,"[323.1935759999942, 231.76725599978454, 382.52063900017674]",,What does the last present wear?
case1_high_confidence,24,case1_high_confidence_24,moALQl818ZY,accept_fs224_high_confidence,423.971852,,,,"[432.8702389999535, 465.10481699999673, 373.9404990000139]",,What are the white words on the screen that change to Economy?
case1_high_confidence,25,case1_high_confidence_25,3_upA09AntU,accept_fs224_high_confidence,408.462845,,,,"[406.0238450001634, 426.45524599993223, 392.90944399999717]",,"When the action of scooping out fried food appears for the first time, what kind of food is scooped out?"
case1_high_confidence,26,case1_high_confidence_26,8QdE--Y-x7U,accept_fs224_high_confidence,373.056851,,,,"[372.03706500000067, 375.02807299998153, 372.10541599998237]",,What happened on the stage after the royal family left?
case1_high_confidence,27,case1_high_confidence_27,NzCO0G8AGLU,accept_fs224_high_confidence,325.259341,,,,"[379.159647999586, 352.26970299981986, 244.34867300033147]",,"After Andy's personal information and introduction, which person is next in the picture?"
case1_high_confidence,28,case1_high_confidence_28,8NHmfpkxTSw,accept_fs224_high_confidence,380.073607,,,,"[381.5793040000699, 386.848332999989, 371.79318400001193]",,What is the gender of the Nobel Prize winners in physics?
case1_high_confidence,29,case1_high_confidence_29,USfvmoalqsw,accept_fs224_high_confidence,387.237130,,,,"[394.7127390001697, 390.90322999982163, 376.09542199970747]",,Where does the vlogger travel to?
case2_low_confidence_agree,0,case2_low_confidence_agree_30,-WnyRMZqV1U,low_confidence_agree_accept_answer,307.652250,816.163715,2.652877,508.511466,"[376.7200430002049, 273.5415310003191, 272.69517499962603]","[762.4100749999343, 843.5300350001853, 842.551036000259]",Who are the two people dressing as animals?
case2_low_confidence_agree,1,case2_low_confidence_agree_31,vaL_vSdZKZo,low_confidence_agree_accept_answer,392.872659,786.402820,2.001674,393.530161,"[380.6052589998217, 415.1796809996995, 382.8330379997169]","[770.5669359993408, 810.1037879996511, 778.5377359996346]","What is the background color of ""EXIT"" on the door in the picture when the bearded man speaks?"
case2_low_confidence_agree,2,case2_low_confidence_agree_32,moALQl818ZY,low_confidence_agree_accept_answer,368.638975,760.467095,2.062905,391.828119,"[433.54371599991737, 382.52180499989663, 289.8514050000358]","[758.5316750000857, 784.0454999995927, 738.8241090002339]","What changes have occurred in the scene from the scene when a woman is interviewed with words of 'LEBANON, NJ 5:03PM' and just turn to 'LEBANON, NJ 5:04PM'?"
case2_low_confidence_agree,3,case2_low_confidence_agree_33,vaL_vSdZKZo,low_confidence_agree_accept_answer,387.669180,754.075429,1.945152,366.406249,"[373.74307899972337, 415.1160810001784, 374.14838099994085]","[780.5664190000243, 708.7348200002452, 772.9250479997063]",How many people dragged the blue and white wooden boat ashore at the same time?
case2_low_confidence_agree,4,case2_low_confidence_agree_34,TiQBTesZUJQ,low_confidence_agree_accept_answer,451.809747,777.894352,1.721730,326.084605,"[408.9844869999979, 505.22731599994586, 441.21743799996693]","[766.9014129996867, 777.9901960002462, 788.7914479997562]",There is a scene of of cutting trees to get the sap in the video. Immediately after it there is a scene of man's arm. What's tattooed on the man's arm?
case2_low_confidence_agree,5,case2_low_confidence_agree_35,Mcggugol2ts,low_confidence_agree_accept_answer,475.888347,755.540364,1.587642,279.652016,"[449.348007000026, 516.6376739998668, 461.679360999824]","[764.2829079995863, 734.4530359996497, 767.8851470000154]",What does the vlogger order in the restaurant?
case2_low_confidence_agree,6,case2_low_confidence_agree_36,_zrgbA3FMVE,low_confidence_agree_accept_answer,399.839880,654.041829,1.635759,254.201949,"[412.09172799972293, 411.2238070001695, 376.2041049999425]","[531.3718299994434, 714.1679340002156, 716.5857239997422]",What letter appears on the computer after the girl with orange hair comes down from the bed and turns on the computer?
case2_low_confidence_agree,7,case2_low_confidence_agree_37,QB7FoIpx8os,low_confidence_agree_accept_answer,367.879018,826.686418,2.247169,458.807400,"[369.66126200002236, 366.8613799999889, 367.11441099998865]","[803.3083329992223, 784.6041299999342, 892.1467899999698]",What type of glasses frames does the last Asian speaker in the video have?
case2_low_confidence_agree,8,case2_low_confidence_agree_38,YlQugR7KSKg,low_confidence_agree_accept_answer,434.657074,552.472516,1.271054,117.815442,"[423.2036859998516, 446.2028399998417, 434.56469700004163]","[466.63089799949375, 470.19013699991774, 720.5965140001354]",What color is the wall light around the stage?
case2_low_confidence_agree,9,case2_low_confidence_agree_39,Za2Z_JRxCuk,low_confidence_agree_accept_answer,234.833648,790.107907,3.364543,555.274259,"[163.25068199995485, 367.56606000000147, 173.684202000004]","[820.0948690000587, 786.1754440000368, 764.0534080001089]",How is the second guard killed?
case2_low_confidence_agree,10,case2_low_confidence_agree_40,_T2Avd3tFHc,low_confidence_agree_accept_answer,382.454028,752.049285,1.966378,369.595257,"[387.5547080000388, 374.27655499999446, 385.53082100003166]","[723.2839440002863, 756.3697120003781, 776.4941999994335]",What does the vlogger team do before going to a tailer store?
case2_low_confidence_agree,11,case2_low_confidence_agree_41,o-gLbgpzCc8,low_confidence_agree_accept_answer,423.490510,817.696826,1.930850,394.206316,"[403.8022419999834, 375.6936019999557, 490.9756870001729]","[778.7349959999119, 801.4536049995513, 872.9018770000039]","When the genie of the magic lamp comes on stage for the curtain call, what is he holding in his hand?"
case2_low_confidence_agree,12,case2_low_confidence_agree_42,uusf1qG_uZ4,low_confidence_agree_accept_answer,398.638963,771.651000,1.935714,373.012038,"[417.59675899993454, 408.1281859998853, 370.1919430000089]","[770.2103309993618, 783.5397670005477, 761.2029029996847]",Who is pushing over by Janice?
case2_low_confidence_agree,13,case2_low_confidence_agree_43,7HjNIPIgUg4,low_confidence_agree_accept_answer,402.296645,812.554594,2.019790,410.257950,"[404.54156199984936, 382.6412899998104, 419.707082000059]","[789.7480209994683, 851.3663379999343, 796.5494239997497]",Who applauded for Edson Santana de Moraes when he took the stage to accept the award?
case2_low_confidence_agree,14,case2_low_confidence_agree_44,YlQugR7KSKg,low_confidence_agree_accept_answer,434.869488,613.029194,1.409685,178.159706,"[457.3107840001285, 421.8717009998727, 425.42597900001056]","[703.2500679997611, 415.51853400051186, 720.3189800002292]",How many Nobel Prizes in physiology or medicine have been awarded?
case2_low_confidence_agree,15,case2_low_confidence_agree_45,8NHmfpkxTSw,low_confidence_agree_accept_answer,387.666953,822.504391,2.121678,434.837438,"[408.81415700005164, 373.30759999997554, 380.879101000005]","[817.0898039998065, 854.7822700002143, 795.6410980004875]",Where does the orchestra conductor stand?
