example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response
16,"{""choices"": ""[\""Rolled over the man's paper\"", \""Chewed on the man's pen\"", \""Knocked over the man's pen\"", \""Pawed at the man's sleeve\"", \""Knocked over the man's coffee\"", \""Sat on the man's keyboard\""]"", ""correct_choice"": ""C"", ""question"": ""What did the little tabby cat do when the man in white clothes was writing in the video?"", ""video_id"": ""-YO14FM76lY""}",-YO14FM76lY,What did the little tabby cat do when the man in white clothes was writing in the video?,"[""Rolled over the man's paper"", ""Chewed on the man's pen"", ""Knocked over the man's pen"", ""Pawed at the man's sleeve"", ""Knocked over the man's coffee"", ""Sat on the man's keyboard""]",Humor/funny / Event Perception,C,D,C,0.0,1.0,route_224,prob_margin,0.4,lt,0.033360958099365234,True,False,llm,llm_verifier_disagreement,route_112,Y,0.58,"Y has slightly stronger margin/logit evidence overall, though both are weak; sleeve-pawing is plausible for a cat interrupting writing.",,224,112,0.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.58,""reason"":""Y has slightly stronger margin/logit evidence overall, though both are weak; sleeve-pawing is plausible for a cat interrupting writing.""}"
32,"{""choices"": ""[\""charcoal\"", \""dark gray\"", \""slate\"", \""black\"", \""iron\"", \""metallic\""]"", ""correct_choice"": ""D"", ""question"": ""What color shelf is the black plastic basket pushed onto in the video?"", ""video_id"": ""02LnK6fEdJw""}",02LnK6fEdJw,What color shelf is the black plastic basket pushed onto in the video?,"[""charcoal"", ""dark gray"", ""slate"", ""black"", ""iron"", ""metallic""]",Embodied Expert / Entity Perception,D,F,D,0.0,1.0,route_224,prob_margin,0.4,lt,0.20902439951896667,True,False,llm,llm_verifier_disagreement,route_112,Y,0.72,Y has stronger confidence margins overall; metallic is more plausible than black for a shelf color.,,224,112,0.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.72,""reason"":""Y has stronger confidence margins overall; metallic is more plausible than black for a shelf color.""}"
38,"{""choices"": ""[\""2 types\"", \""3 types\"", \""1 type\"", \""7 types\"", \""4 types\"", \""5 types\"", \""6 types\""]"", ""correct_choice"": ""E"", ""question"": ""How many colors of lip gloss did the heroine in the video apply on her hands?"", ""video_id"": ""07QhrrI5B4k""}",07QhrrI5B4k,How many colors of lip gloss did the heroine in the video apply on her hands?,"[""2 types"", ""3 types"", ""1 type"", ""7 types"", ""4 types"", ""5 types"", ""6 types""]",Life Record / Event Perception,E,E,B,1.0,0.0,route_112,prob_margin,0.4,lt,0.0,True,False,llm,llm_verifier_disagreement,route_112,Y,0.67,Y has higher top1 probability and a clear positive margin; X is tied at zero margin.,,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.67,""reason"":""Y has higher top1 probability and a clear positive margin; X is tied at zero margin.""}"
54,"{""choices"": ""[\""rabbit\"", \""squirrel\"", \""swan\"", \""cat\"", \""bird\"", \""duck\"", \""butterfly\""]"", ""correct_choice"": ""E"", ""question"": ""What animal appears on the path opposite the blue tent in the video?"", ""video_id"": ""0d4kyhFahhk""}",0d4kyhFahhk,What animal appears on the path opposite the blue tent in the video?,"[""rabbit"", ""squirrel"", ""swan"", ""cat"", ""bird"", ""duck"", ""butterfly""]",Life Record / Entity Perception,E,F,E,0.0,1.0,route_224,prob_margin,0.4,lt,0.25997617840766907,True,False,llm,llm_verifier_disagreement,route_112,X,0.61,"X has slightly stronger probability margin and lower entropy; both are close, but duck is more supported than bird.",,224,112,0.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.61,""reason"":""X has slightly stronger probability margin and lower entropy; both are close, but duck is more supported than bird.""}"
63,"{""choices"": ""[\""5\"", \""1\"", \""8\"", \""2\"", \""4\"", \""6\"", \""0\"", \""3\""]"", ""correct_choice"": ""B"", ""question"": ""How many handbags did the girl wearing a hat and eating ice cream in the video carry?"", ""video_id"": ""11AiHQqX7CU""}",11AiHQqX7CU,How many handbags did the girl wearing a hat and eating ice cream in the video carry?,"[""5"", ""1"", ""8"", ""2"", ""4"", ""6"", ""0"", ""3""]",Embodied Expert / Entity Perception,B,B,G,1.0,0.0,route_112,prob_margin,0.4,lt,0.17431741952896118,True,False,llm,llm_verifier_disagreement,route_224,Y,0.61,"Y has higher top1 probability and margin, with lower entropy, so it looks more likely.",,224,224,0.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.61,""reason"":""Y has higher top1 probability and margin, with lower entropy, so it looks more likely.""}"
66,"{""choices"": ""[\""graphite\"", \""dark gray\"", \""navy\"", \""charcoal\"", \""slate\"", \""midnight blue\"", \""black\""]"", ""correct_choice"": ""G"", ""question"": ""What color shirt is the boy wearing in the video who is walking and talking on the phone with a white bag in his hand?"", ""video_id"": ""11AiHQqX7CU""}",11AiHQqX7CU,What color shirt is the boy wearing in the video who is walking and talking on the phone with a white bag in his hand?,"[""graphite"", ""dark gray"", ""navy"", ""charcoal"", ""slate"", ""midnight blue"", ""black""]",Embodied Expert / Entity Perception,G,G,C,1.0,0.0,route_112,prob_margin,0.4,lt,0.0,True,False,llm,llm_verifier_disagreement,route_112,X,0.67,X has clearly stronger confidence margins and lower entropy; Y is tied on top probabilities and was low-confidence.,,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.67,""reason"":""X has clearly stronger confidence margins and lower entropy; Y is tied on top probabilities and was low-confidence.""}"
79,"{""choices"": ""[\""In order to change a burnt-out bulb in the kitchen light\"", \""In order to inspect the upper cabinets for dust\"", \""In order to adjust the lighting above the countertop\"", \""In order to wipe the entire part of the range hood\"", \""In order to reach a plant on top of the cabinet\"", \""In order to reorganize items stored on the upper shelf\"", \""In order to check for any loose parts in the range hood\"", \""In order to retrieve a cleaning tool from a high shelf\""]"", ""correct_choice"": ""D"", ""question"": ""Why does the protagonist in the video move a stool and stand on the kitchen countertop after cleaning the range hood rectifier?"", ""video_id"": ""1k6pIrI-lDM""}",1k6pIrI-lDM,Why does the protagonist in the video move a stool and stand on the kitchen countertop after cleaning the range hood rectifier?,"[""In order to change a burnt-out bulb in the kitchen light"", ""In order to inspect the upper cabinets for dust"", ""In order to adjust the lighting above the countertop"", ""In order to wipe the entire part of the range hood"", ""In order to reach a plant on top of the cabinet"", ""In order to reorganize items stored on the upper shelf"", ""In order to check for any loose parts in the range hood"", ""In order to retrieve a cleaning tool from a high shelf""]",Instruction & Knowledge / Entity Cognition,D,D,B,1.0,0.0,route_112,prob_margin,0.4,lt,0.25730451941490173,True,False,llm,llm_verifier_disagreement,route_112,X,0.72,"X has stronger confidence across margin and entropy, and wiping the range hood fits standing on the counter better than inspecting cabinets.",,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.72,""reason"":""X has stronger confidence across margin and entropy, and wiping the range hood fits standing on the counter better than inspecting cabinets.""}"
81,"{""choices"": ""[\""Pita Bread\"", \""Pie Crust\"", \""Flatbread\"", \""Ciabatta\"", \""Bread Loaf\"", \""Pizza Crust\"", \""Baguette\"", \""Tortilla Wrap\""]"", ""correct_choice"": ""F"", ""question"": ""In the video, the protagonist opened the warehouse door and took out a bag of what?"", ""video_id"": ""27IAPB8GrZw""}",27IAPB8GrZw,"In the video, the protagonist opened the warehouse door and took out a bag of what?","[""Pita Bread"", ""Pie Crust"", ""Flatbread"", ""Ciabatta"", ""Bread Loaf"", ""Pizza Crust"", ""Baguette"", ""Tortilla Wrap""]",Embodied Expert / Entity Perception,F,A,F,0.0,1.0,route_224,prob_margin,0.4,lt,0.2903127670288086,True,False,llm,llm_verifier_disagreement,route_224,Y,0.74,"Y has clearly stronger confidence signals (higher top1_prob and margins, lower entropy), so it is more likely correct.",,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.74,""reason"":""Y has clearly stronger confidence signals (higher top1_prob and margins, lower entropy), so it is more likely correct.""}"
89,"{""choices"": ""[\""7\"", \""4\"", \""6\"", \""0\"", \""1\"", \""3\"", \""2\"", \""5\""]"", ""correct_choice"": ""G"", ""question"": ""How many knives did the person in the white dress and mask in the video have?"", ""video_id"": ""2_SU9fL_EBc""}",2_SU9fL_EBc,How many knives did the person in the white dress and mask in the video have?,"[""7"", ""4"", ""6"", ""0"", ""1"", ""3"", ""2"", ""5""]",Music & TV show / Entity Perception,G,G,E,1.0,0.0,route_112,prob_margin,0.4,lt,0.035287439823150635,True,False,llm,llm_verifier_disagreement,route_112,X,0.78,"X has clearly stronger confidence: higher top1_prob, much larger margin, and lower entropy than Y.",,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.78,""reason"":""X has clearly stronger confidence: higher top1_prob, much larger margin, and lower entropy than Y.""}"
104,"{""choices"": ""[\""Wooden floor\"", \""Wooden decking\"", \""Wooden foundation\"", \""Metal base\"", \""Stone slab\"", \""Brick foundation\"", \""Wooden platform\"", \""Stone foundation\""]"", ""correct_choice"": ""C"", ""question"": ""What is the thing that the protagonist puts on the ground when building the base in the video?"", ""video_id"": ""2ei0Mz_3Tk0""}",2ei0Mz_3Tk0,What is the thing that the protagonist puts on the ground when building the base in the video?,"[""Wooden floor"", ""Wooden decking"", ""Wooden foundation"", ""Metal base"", ""Stone slab"", ""Brick foundation"", ""Wooden platform"", ""Stone foundation""]",Electonic/Social Gaming / Entity Perception,C,B,C,0.0,1.0,route_224,prob_margin,0.4,lt,0.1588171273469925,True,False,llm,llm_verifier_disagreement,route_224,Y,0.67,"Y has higher top1 probability, margin, and lower entropy, so it looks more confident.",,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.67,""reason"":""Y has higher top1 probability, margin, and lower entropy, so it looks more confident.""}"
