example_index,input_mode,model,video_id,question,choices,correct_choice,key,acc112,acc224,gold_label,raw_pred_label,pred_label,confidence,reason,parse_error,default_fs,routed_fs,routed_acc,source_112,source_224,raw_response
0,question,gpt-5.4-mini,-WnyRMZqV1U,"Compared to the character the Best Actor portrayed in the movie, the Best Actor winner is ___ on the stage.","[""More built"", ""Quieter"", ""More animated"", ""Slimer""]",A,"{""choices"": ""[\""More built\"", \""Quieter\"", \""More animated\"", \""Slimer\""]"", ""correct_choice"": ""A"", ""question"": ""Compared to the character the Best Actor portrayed in the movie, the Best Actor winner is ___ on the stage."", ""video_id"": ""-WnyRMZqV1U""}",0.0,0.0,tie,route_224,route_224,0.62,"Needs comparing the actor’s appearance on stage with the portrayed character, so finer visual detail is more useful.",,112,224,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs224"",""confidence"":0.62,""reason"":""Needs comparing the actor’s appearance on stage with the portrayed character, so finer visual detail is more useful.""}"
1,question,gpt-5.4-mini,-WnyRMZqV1U,"For each award, the number of presenters is different. What are the maximum and minimum numbers of presenters in the video?","[""5, 1"", ""2, 1"", ""4, 0"", ""3, 1""]",B,"{""choices"": ""[\""5, 1\"", \""2, 1\"", \""4, 0\"", \""3, 1\""]"", ""correct_choice"": ""B"", ""question"": ""For each award, the number of presenters is different. What are the maximum and minimum numbers of presenters in the video?"", ""video_id"": ""-WnyRMZqV1U""}",0.0,0.0,tie,route_112,route_112,0.88,"Requires counting presenters across the video and comparing awards over time, so wider temporal coverage is more useful.",,112,112,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs112"",""confidence"":0.88,""reason"":""Requires counting presenters across the video and comparing awards over time, so wider temporal coverage is more useful.""}"
2,question,gpt-5.4-mini,-WnyRMZqV1U,Is the scene where individuals are seen taking photos with the Pope part fictional or real? Which sentence best describes the place this scene happens?,"[""Fictional, from a movie"", ""Fictional, from a documentary"", ""Real, from live"", ""Real, from news report""]",A,"{""choices"": ""[\""Fictional, from a movie\"", \""Fictional, from a documentary\"", \""Real, from live\"", \""Real, from news report\""]"", ""correct_choice"": ""A"", ""question"": ""Is the scene where individuals are seen taking photos with the Pope part fictional or real? Which sentence best describes the place this scene happens?"", ""video_id"": ""-WnyRMZqV1U""}",0.0,0.0,tie,route_112,route_112,0.84,"The question asks about whether a scene is real or fictional and where it happens, which likely depends on broader temporal/contextual understanding rather than fine visual detail.",,112,112,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs112"",""confidence"":0.84,""reason"":""The question asks about whether a scene is real or fictional and where it happens, which likely depends on broader temporal/contextual understanding rather than fine visual detail.""}"
3,question,gpt-5.4-mini,-WnyRMZqV1U,What clothes do three winners who win Best Makeup and Hairstyling Design wear?,"[""Black dress, black suit, blue dress"", ""Two black dresses, black suit"", ""Black dress, black suit, white suit"", ""Blue dress, two blue suits""]",A,"{""choices"": ""[\""Black dress, black suit, blue dress\"", \""Two black dresses, black suit\"", \""Black dress, black suit, white suit\"", \""Blue dress, two blue suits\""]"", ""correct_choice"": ""A"", ""question"": ""What clothes do three winners who win Best Makeup and Hairstyling Design wear?"", ""video_id"": ""-WnyRMZqV1U""}",1.0,1.0,tie,route_224,route_224,0.88,"The question asks about clothing worn by specific people, which needs fine visual detail and person identification.",,112,224,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs224"",""confidence"":0.88,""reason"":""The question asks about clothing worn by specific people, which needs fine visual detail and person identification.""}"
4,question,gpt-5.4-mini,-WnyRMZqV1U,What does the last present wear?,"[""Headphones"", ""Earrings"", ""Glasses"", ""Hearing aid""]",B,"{""choices"": ""[\""Headphones\"", \""Earrings\"", \""Glasses\"", \""Hearing aid\""]"", ""correct_choice"": ""B"", ""question"": ""What does the last present wear?"", ""video_id"": ""-WnyRMZqV1U""}",0.0,0.0,tie,route_224,route_224,0.93,"Asks about a specific visual detail of the last present’s appearance, which likely needs higher spatial resolution.",,112,224,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs224"",""confidence"":0.93,""reason"":""Asks about a specific visual detail of the last present’s appearance, which likely needs higher spatial resolution.""}"
5,question,gpt-5.4-mini,-WnyRMZqV1U,What does the presenter do to Brad Pitt when he wins the award?,"[""She hugs him"", ""She gives a high five"", ""She slaps him"", ""She kisses him""]",A,"{""choices"": ""[\""She hugs him\"", \""She gives a high five\"", \""She slaps him\"", \""She kisses him\""]"", ""correct_choice"": ""A"", ""question"": ""What does the presenter do to Brad Pitt when he wins the award?"", ""video_id"": ""-WnyRMZqV1U""}",1.0,1.0,tie,route_112,route_112,0.86,"Needs temporal event understanding of what happens when the award is won, not fine visual detail.",,112,112,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs112"",""confidence"":0.86,""reason"":""Needs temporal event understanding of what happens when the award is won, not fine visual detail.""}"
6,question,gpt-5.4-mini,-WnyRMZqV1U,What frequently appears at the top left corner of the video?,"[""Date"", ""QR code"", ""Channel name"", ""Nothing""]",B,"{""choices"": ""[\""Date\"", \""QR code\"", \""Channel name\"", \""Nothing\""]"", ""correct_choice"": ""B"", ""question"": ""What frequently appears at the top left corner of the video?"", ""video_id"": ""-WnyRMZqV1U""}",0.0,1.0,route_224,route_224,route_224,0.86,"Asks about a specific screen location, likely needing fine visual detail or overlay/text recognition.",,112,224,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs224"",""confidence"":0.86,""reason"":""Asks about a specific screen location, likely needing fine visual detail or overlay/text recognition.""}"
7,question,gpt-5.4-mini,-WnyRMZqV1U,What is the nationality of the producers for the Best Picture award?,"[""Americans"", ""Chinese"", ""Koreans"", ""Japanese""]",C,"{""choices"": ""[\""Americans\"", \""Chinese\"", \""Koreans\"", \""Japanese\""]"", ""correct_choice"": ""C"", ""question"": ""What is the nationality of the producers for the Best Picture award?"", ""video_id"": ""-WnyRMZqV1U""}",0.0,0.0,tie,route_224,route_224,0.62,"Likely requires identifying award details or text on screen, which benefits from higher spatial resolution.",,112,224,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs224"",""confidence"":0.62,""reason"":""Likely requires identifying award details or text on screen, which benefits from higher spatial resolution.""}"
8,question,gpt-5.4-mini,-WnyRMZqV1U,What is the relationship between Bong Joon Ho and the elderly man whom people are standing up and applauding for during his speech?,"[""Actor and producer"", ""Employer and employee"", ""Father and son"", ""Senior producer and young producer""]",D,"{""choices"": ""[\""Actor and producer\"", \""Employer and employee\"", \""Father and son\"", \""Senior producer and young producer\""]"", ""correct_choice"": ""D"", ""question"": ""What is the relationship between Bong Joon Ho and the elderly man whom people are standing up and applauding for during his speech?"", ""video_id"": ""-WnyRMZqV1U""}",0.0,0.0,tie,route_112,route_112,0.86,"The question asks about a relationship inferred from the speech context and audience reaction, which likely depends on temporal/story understanding more than fine visual detail.",,112,112,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs112"",""confidence"":0.86,""reason"":""The question asks about a relationship inferred from the speech context and audience reaction, which likely depends on temporal/story understanding more than fine visual detail.""}"
9,question,gpt-5.4-mini,-WnyRMZqV1U,What kind of content does the entire video cover?,"[""The entire video narrates the complete process of the 2020 Golden Globe ceremony, where numerous figures from the film industry participate, with many individuals being nominated and awarded"", ""The entire video narrates the complete process of the 2020 Oscars ceremony, where numerous figures from the film industry participate, with many individuals being nominated and awarded"", ""The entire video narrates the complete process of the 2020 Olympics, where numerous athletes around the world participate, with many individuals win the medels"", ""The entire video narrates the complete process of the 2020 Golden Horse Awards, where numerous figures from the film industry participate, with many individuals being nominated and awarded""]",B,"{""choices"": ""[\""The entire video narrates the complete process of the 2020 Golden Globe ceremony, where numerous figures from the film industry participate, with many individuals being nominated and awarded\"", \""The entire video narrates the complete process of the 2020 Oscars ceremony, where numerous figures from the film industry participate, with many individuals being nominated and awarded\"", \""The entire video narrates the complete process of the 2020 Olympics, where numerous athletes around the world participate, with many individuals win the medels\"", \""The entire video narrates the complete process of the 2020 Golden Horse Awards, where numerous figures from the film industry participate, with many individuals being nominated and awarded\""]"", ""correct_choice"": ""B"", ""question"": ""What kind of content does the entire video cover?"", ""video_id"": ""-WnyRMZqV1U""}",0.0,1.0,route_224,route_112,route_112,0.93,"The question asks for the overall content of the whole video, which needs broad temporal coverage rather than fine visual detail.",,112,112,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs112"",""confidence"":0.93,""reason"":""The question asks for the overall content of the whole video, which needs broad temporal coverage rather than fine visual detail.""}"
