example_index,input_mode,model,video_id,question,choices,correct_choice,key,acc112,acc224,gold_label,raw_pred_label,pred_label,confidence,reason,parse_error,default_fs,routed_fs,routed_acc,source_112,source_224,raw_response
0,question_choices,gpt-5.4-mini,-WnyRMZqV1U,"Compared to the character the Best Actor portrayed in the movie, the Best Actor winner is ___ on the stage.","[""More built"", ""Quieter"", ""More animated"", ""Slimer""]",A,"{""choices"": ""[\""More built\"", \""Quieter\"", \""More animated\"", \""Slimer\""]"", ""correct_choice"": ""A"", ""question"": ""Compared to the character the Best Actor portrayed in the movie, the Best Actor winner is ___ on the stage."", ""video_id"": ""-WnyRMZqV1U""}",0.0,0.0,tie,route_224,route_224,0.74,"Needs visual comparison of the actor on stage versus a character portrayal, likely relying on body build and appearance details.",,112,224,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs224"",""confidence"":0.74,""reason"":""Needs visual comparison of the actor on stage versus a character portrayal, likely relying on body build and appearance details.""}"
1,question_choices,gpt-5.4-mini,-WnyRMZqV1U,"For each award, the number of presenters is different. What are the maximum and minimum numbers of presenters in the video?","[""5, 1"", ""2, 1"", ""4, 0"", ""3, 1""]",B,"{""choices"": ""[\""5, 1\"", \""2, 1\"", \""4, 0\"", \""3, 1\""]"", ""correct_choice"": ""B"", ""question"": ""For each award, the number of presenters is different. What are the maximum and minimum numbers of presenters in the video?"", ""video_id"": ""-WnyRMZqV1U""}",0.0,0.0,tie,route_112,route_112,0.88,Requires tracking award presentations over time and comparing counts across events.,,112,112,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs112"",""confidence"":0.88,""reason"":""Requires tracking award presentations over time and comparing counts across events.""}"
2,question_choices,gpt-5.4-mini,-WnyRMZqV1U,Is the scene where individuals are seen taking photos with the Pope part fictional or real? Which sentence best describes the place this scene happens?,"[""Fictional, from a movie"", ""Fictional, from a documentary"", ""Real, from live"", ""Real, from news report""]",A,"{""choices"": ""[\""Fictional, from a movie\"", \""Fictional, from a documentary\"", \""Real, from live\"", \""Real, from news report\""]"", ""correct_choice"": ""A"", ""question"": ""Is the scene where individuals are seen taking photos with the Pope part fictional or real? Which sentence best describes the place this scene happens?"", ""video_id"": ""-WnyRMZqV1U""}",0.0,0.0,tie,route_224,route_224,0.74,Needs fine visual identification of the scene’s source/type and likely details about the setting.,,112,224,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs224"",""confidence"":0.74,""reason"":""Needs fine visual identification of the scene’s source/type and likely details about the setting.""}"
3,question_choices,gpt-5.4-mini,-WnyRMZqV1U,What clothes do three winners who win Best Makeup and Hairstyling Design wear?,"[""Black dress, black suit, blue dress"", ""Two black dresses, black suit"", ""Black dress, black suit, white suit"", ""Blue dress, two blue suits""]",A,"{""choices"": ""[\""Black dress, black suit, blue dress\"", \""Two black dresses, black suit\"", \""Black dress, black suit, white suit\"", \""Blue dress, two blue suits\""]"", ""correct_choice"": ""A"", ""question"": ""What clothes do three winners who win Best Makeup and Hairstyling Design wear?"", ""video_id"": ""-WnyRMZqV1U""}",1.0,1.0,tie,route_224,route_224,0.86,"Requires identifying clothing colors/styles of specific people, which needs finer visual detail.",,112,224,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs224"",""confidence"":0.86,""reason"":""Requires identifying clothing colors/styles of specific people, which needs finer visual detail.""}"
4,question_choices,gpt-5.4-mini,-WnyRMZqV1U,What does the last present wear?,"[""Headphones"", ""Earrings"", ""Glasses"", ""Hearing aid""]",B,"{""choices"": ""[\""Headphones\"", \""Earrings\"", \""Glasses\"", \""Hearing aid\""]"", ""correct_choice"": ""B"", ""question"": ""What does the last present wear?"", ""video_id"": ""-WnyRMZqV1U""}",0.0,0.0,tie,route_224,route_224,0.93,Requires fine visual detail to identify a small accessory on the last present.,,112,224,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs224"",""confidence"":0.93,""reason"":""Requires fine visual detail to identify a small accessory on the last present.""}"
5,question_choices,gpt-5.4-mini,-WnyRMZqV1U,What does the presenter do to Brad Pitt when he wins the award?,"[""She hugs him"", ""She gives a high five"", ""She slaps him"", ""She kisses him""]",A,"{""choices"": ""[\""She hugs him\"", \""She gives a high five\"", \""She slaps him\"", \""She kisses him\""]"", ""correct_choice"": ""A"", ""question"": ""What does the presenter do to Brad Pitt when he wins the award?"", ""video_id"": ""-WnyRMZqV1U""}",1.0,1.0,tie,route_112,route_112,0.86,Needs temporal event understanding of an award moment and interaction between presenter and Brad Pitt.,,112,112,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs112"",""confidence"":0.86,""reason"":""Needs temporal event understanding of an award moment and interaction between presenter and Brad Pitt.""}"
6,question_choices,gpt-5.4-mini,-WnyRMZqV1U,What frequently appears at the top left corner of the video?,"[""Date"", ""QR code"", ""Channel name"", ""Nothing""]",B,"{""choices"": ""[\""Date\"", \""QR code\"", \""Channel name\"", \""Nothing\""]"", ""correct_choice"": ""B"", ""question"": ""What frequently appears at the top left corner of the video?"", ""video_id"": ""-WnyRMZqV1U""}",0.0,1.0,route_224,route_224,route_224,0.86,"The question asks about a small on-screen corner detail, so higher spatial resolution is more useful.",,112,224,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs224"",""confidence"":0.86,""reason"":""The question asks about a small on-screen corner detail, so higher spatial resolution is more useful.""}"
7,question_choices,gpt-5.4-mini,-WnyRMZqV1U,What is the nationality of the producers for the Best Picture award?,"[""Americans"", ""Chinese"", ""Koreans"", ""Japanese""]",C,"{""choices"": ""[\""Americans\"", \""Chinese\"", \""Koreans\"", \""Japanese\""]"", ""correct_choice"": ""C"", ""question"": ""What is the nationality of the producers for the Best Picture award?"", ""video_id"": ""-WnyRMZqV1U""}",0.0,0.0,tie,route_224,route_224,0.86,Likely requires reading award details or identifying producers/nationality from fine visual/text cues.,,112,224,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs224"",""confidence"":0.86,""reason"":""Likely requires reading award details or identifying producers/nationality from fine visual/text cues.""}"
8,question_choices,gpt-5.4-mini,-WnyRMZqV1U,What is the relationship between Bong Joon Ho and the elderly man whom people are standing up and applauding for during his speech?,"[""Actor and producer"", ""Employer and employee"", ""Father and son"", ""Senior producer and young producer""]",D,"{""choices"": ""[\""Actor and producer\"", \""Employer and employee\"", \""Father and son\"", \""Senior producer and young producer\""]"", ""correct_choice"": ""D"", ""question"": ""What is the relationship between Bong Joon Ho and the elderly man whom people are standing up and applauding for during his speech?"", ""video_id"": ""-WnyRMZqV1U""}",0.0,0.0,tie,route_112,route_112,0.86,"Needs understanding of who is speaking and the event context over time, not fine visual detail.",,112,112,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs112"",""confidence"":0.86,""reason"":""Needs understanding of who is speaking and the event context over time, not fine visual detail.""}"
9,question_choices,gpt-5.4-mini,-WnyRMZqV1U,What kind of content does the entire video cover?,"[""The entire video narrates the complete process of the 2020 Golden Globe ceremony, where numerous figures from the film industry participate, with many individuals being nominated and awarded"", ""The entire video narrates the complete process of the 2020 Oscars ceremony, where numerous figures from the film industry participate, with many individuals being nominated and awarded"", ""The entire video narrates the complete process of the 2020 Olympics, where numerous athletes around the world participate, with many individuals win the medels"", ""The entire video narrates the complete process of the 2020 Golden Horse Awards, where numerous figures from the film industry participate, with many individuals being nominated and awarded""]",B,"{""choices"": ""[\""The entire video narrates the complete process of the 2020 Golden Globe ceremony, where numerous figures from the film industry participate, with many individuals being nominated and awarded\"", \""The entire video narrates the complete process of the 2020 Oscars ceremony, where numerous figures from the film industry participate, with many individuals being nominated and awarded\"", \""The entire video narrates the complete process of the 2020 Olympics, where numerous athletes around the world participate, with many individuals win the medels\"", \""The entire video narrates the complete process of the 2020 Golden Horse Awards, where numerous figures from the film industry participate, with many individuals being nominated and awarded\""]"", ""correct_choice"": ""B"", ""question"": ""What kind of content does the entire video cover?"", ""video_id"": ""-WnyRMZqV1U""}",0.0,1.0,route_224,route_112,route_112,0.96,"The question asks about the overall content of the entire video, so wider temporal coverage is more useful than fine visual detail.",,112,112,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench/fs224_lb18_rs36/1_0.csv,"{""route"":""fs112"",""confidence"":0.96,""reason"":""The question asks about the overall content of the entire video, so wider temporal coverage is more useful than fine visual detail.""}"
