example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,gate_fs,challenger_fs,default_gate_value,default_low_confidence,default_challenger_agree,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,min_fs112_verifier_confidence,fs112_confidence_fallback,fs112_confidence_fallback_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response,_routed_row_index,latency_case,latency_sample_index,case_full_count,case_full_ratio,case_sample_count,full_total_count,sample_seed,sample_uid,fs224_mean_ms,fs224_median_ms,fs224_p90_ms,fs224_std_ms,fs224_repeats_ms,fs224_error,fs224_cache_build_ms_for_video,fs112_mean_ms,fs112_median_ms,fs112_p90_ms,fs112_std_ms,fs112_repeats_ms,fs112_error,fs112_cache_build_ms_for_video,verifier_mean_ms,verifier_median_ms,verifier_p90_ms,verifier_std_ms,verifier_repeats_ms,verifier_error
106,"{""choices"": ""[\""Right side of stage\"", \""Second floor on the left\"", \""On the left side of the stage\"", \""Second floor on the right\""]"", ""correct_choice"": ""D"", ""question"": ""Where is the harp player, respective to the people on the stage?"", ""video_id"": ""8QdE--Y-x7U""}",8QdE--Y-x7U,"Where is the harp player, respective to the people on the stage?","[""Right side of stage"", ""Second floor on the left"", ""On the left side of the stage"", ""Second floor on the right""]",entity recognition,D,B,B,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.4615698605775833,False,True,0.4615698605775833,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,106,case1_high_confidence,0,404,0.5466847091,5,739,2026,case1_high_confidence_0,125.12847333334776,124.40869300002078,124.40869300002078,2.131604501656739,"[128.02352500000325, 124.40869300002078, 122.95320200001925]",,78694.14918600001,,,,,,,,,,,,,
278,"{""choices"": ""[\""Green\"", \""Red\"", \""Gray\"", \""Black\""]"", ""correct_choice"": ""D"", ""question"": ""What color is the inner layer of clothing worn by the second speaker in the video?"", ""video_id"": ""QB7FoIpx8os""}",QB7FoIpx8os,What color is the inner layer of clothing worn by the second speaker in the video?,"[""Green"", ""Red"", ""Gray"", ""Black""]",entity recognition,D,D,D,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.6391774564981461,False,True,0.6391774564981461,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,278,case1_high_confidence,1,404,0.5466847091,5,739,2026,case1_high_confidence_1,126.64600899999338,122.10754899996346,122.10754899996346,6.482707658219041,"[122.01668599999493, 122.10754899996346, 135.81379200002175]",,70811.44146399999,,,,,,,,,,,,,
428,"{""choices"": ""[\""The protagonist flees the fight\"", \""The protagonist injures all the Samurais\"", \""The protagonist spares the last remaining Samurai\"", \""The protagonist kills all the Samurais\""]"", ""correct_choice"": ""A"", ""question"": ""Which sentence best describes the outcome of the fight between the protagonist and the second time she encounters a group of Samurais?"", ""video_id"": ""Za2Z_JRxCuk""}",Za2Z_JRxCuk,Which sentence best describes the outcome of the fight between the protagonist and the second time she encounters a group of Samurais?,"[""The protagonist flees the fight"", ""The protagonist injures all the Samurais"", ""The protagonist spares the last remaining Samurai"", ""The protagonist kills all the Samurais""]",event understanding,A,C,C,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.46017037332057953,False,True,0.46017037332057953,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,428,case1_high_confidence,2,404,0.5466847091,5,739,2026,case1_high_confidence_2,124.1684219999873,124.07909399996697,124.07909399996697,0.3860684585109515,"[124.6795499999962, 124.07909399996697, 123.74662199999875]",,24895.678620000013,,,,,,,,,,,,,
441,"{""choices"": ""[\""Mikhail\"", \""Staffan\"", \""Eric\"", \""Nathan\""]"", ""correct_choice"": ""A"", ""question"": ""What is the name of the elder who joins the vlogger on their travel?"", ""video_id"": ""_T2Avd3tFHc""}",_T2Avd3tFHc,What is the name of the elder who joins the vlogger on their travel?,"[""Mikhail"", ""Staffan"", ""Eric"", ""Nathan""]","entity recognition, key information retrieval",A,A,A,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.6784603595733643,False,True,0.6784603595733643,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,441,case1_high_confidence,3,404,0.5466847091,5,739,2026,case1_high_confidence_3,124.92845133332746,124.42146600000115,124.42146600000115,1.6168816400003982,"[124.42146600000115, 123.25096399996482, 127.11292400001639]",,22608.233358999998,,,,,,,,,,,,,
581,"{""choices"": ""[\""She dances with people\"", \""She throws her shoe away\"", \""She walks barefoot\"", \""She fights with a police\""]"", ""correct_choice"": ""A"", ""question"": ""What does the woman do before throwing the Coca-Cola can into the air?"", ""video_id"": ""q01CUy_gwdU""}",q01CUy_gwdU,What does the woman do before throwing the Coca-Cola can into the air?,"[""She dances with people"", ""She throws her shoe away"", ""She walks barefoot"", ""She fights with a police""]","entity recognition, key information retrieval",A,B,B,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.9297898057848215,False,True,0.9297898057848215,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,581,case1_high_confidence,4,404,0.5466847091,5,739,2026,case1_high_confidence_4,123.11228966666476,123.0914440000106,123.0914440000106,0.7191232704663734,"[123.0914440000106, 124.00327000000289, 122.24215499998081]",,40111.250055000026,,,,,,,,,,,,,
120,"{""choices"": ""[\""1\"", \""5\"", \""2\"", \""4\""]"", ""correct_choice"": ""D"", ""question"": ""How many times does the protagonist knock on the green door?"", ""video_id"": ""Cm73ma6Ibcs""}",Cm73ma6Ibcs,How many times does the protagonist knock on the green door?,"[""1"", ""5"", ""2"", ""4""]",event understanding,D,A,A,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.16102036833763123,True,True,0.16102036833763123,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,120,case2_low_confidence_agree,0,185,0.2503382950,5,739,2026,case2_low_confidence_agree_5,138.59181233336435,127.12755200004722,127.12755200004722,16.835924134919093,"[127.12755200004722, 162.39603600001828, 126.2518490000275]",,44321.84591399994,108.03585033333245,108.02708500000335,108.02708500000335,0.10399750006945459,"[108.02708500000335, 107.9130890000215, 108.16737699997248]",,33752.14905999997,,,,,,
257,"{""choices"": ""[\""Beth\"", \""Will\"", \""Fran\"", \""Paul\""]"", ""correct_choice"": ""B"", ""question"": ""Who falls and ruptures?"", ""video_id"": ""NzCO0G8AGLU""}",NzCO0G8AGLU,Who falls and ruptures?,"[""Beth"", ""Will"", ""Fran"", ""Paul""]",entity recognition,B,A,A,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.1537797898054123,True,True,0.1537797898054123,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,257,case2_low_confidence_agree,1,185,0.2503382950,5,739,2026,case2_low_confidence_agree_6,124.99931633332532,125.02212100002907,125.02212100002907,0.30353828689262496,"[125.35914599993703, 124.61668200000986, 125.02212100002907]",,29468.418345999908,120.48641866666306,110.7817540000724,110.7817540000724,14.387634391848808,"[140.82650900013505, 110.7817540000724, 109.85099299978174]",,22419.83267399996,,,,,,
630,"{""choices"": ""[\""Because it's closed on Monday\"", \""Because foreigners are not allowed to enter\"", \""Because the author does not have enough money to buy a ticket\"", \""Because the author has other things to do\""]"", ""correct_choice"": ""A"", ""question"": ""What might be the most likely reason the vlogger doesn't enter the national monument on the first day?"", ""video_id"": ""tH_5YbklevQ""}",tH_5YbklevQ,What might be the most likely reason the vlogger doesn't enter the national monument on the first day?,"[""Because it's closed on Monday"", ""Because foreigners are not allowed to enter"", ""Because the author does not have enough money to buy a ticket"", ""Because the author has other things to do""]",reasoning,A,A,A,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.24748772382736206,True,True,0.24748772382736206,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,630,case2_low_confidence_agree,2,185,0.2503382950,5,739,2026,case2_low_confidence_agree_7,127.02312866667853,127.16376299999865,127.16376299999865,1.3630717657693883,"[127.16376299999865, 128.61777800003438, 125.28784500000256]",,42118.32610399995,107.41926633333303,107.41107800004102,107.41107800004102,0.10538313545564383,"[107.41107800004102, 107.55223299997851, 107.29448799997954]",,32331.753435000108,,,,,,
642,"{""choices"": ""[\""Venus feels under pressure, but she gets the return back\"", \""Venus feels bad that she made a bad error to give her sister game point\"", \""Venus maintains her composure, quickly refocusing for the next point with a determined expression\"", \""Venus shows frustration as she clenches her fist and shakes her head in disappointment\""]"", ""correct_choice"": ""B"", ""question"": ""What is Venus's mood at IBM 163 when she hit the ball out of bounds to make it 30-40?"", ""video_id"": ""tKIFQI9cH2c""}",tKIFQI9cH2c,What is Venus's mood at IBM 163 when she hit the ball out of bounds to make it 30-40?,"[""Venus feels under pressure, but she gets the return back"", ""Venus feels bad that she made a bad error to give her sister game point"", ""Venus maintains her composure, quickly refocusing for the next point with a determined expression"", ""Venus shows frustration as she clenches her fist and shakes her head in disappointment""]",reasoning,B,D,D,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.19222599267959595,True,True,0.19222599267959595,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,642,case2_low_confidence_agree,3,185,0.2503382950,5,739,2026,case2_low_confidence_agree_8,128.52085566669302,129.90044000002854,129.90044000002854,2.009784638625778,"[125.6789920000756, 129.90044000002854, 129.98313499997494]",,53509.597794,110.1905436666281,109.3047449999176,109.3047449999176,1.3016290154550592,"[112.03089700006785, 109.23598899989884, 109.3047449999176]",,41281.72738799981,,,,,,
597,"{""choices"": ""[\""They stands and watch\"", \""There is no audience near the stage\"", \""They sit on chairs and watch\"", \""They try to step onto the stage and watch\""]"", ""correct_choice"": ""A"", ""question"": ""How does the audience near the stage at the first floor watch the performance?"", ""video_id"": ""rk24OUu_kJQ""}",rk24OUu_kJQ,How does the audience near the stage at the first floor watch the performance?,"[""They stands and watch"", ""There is no audience near the stage"", ""They sit on chairs and watch"", ""They try to step onto the stage and watch""]",entity recognition,A,A,A,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.11693555116653442,True,True,0.11693555116653442,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,597,case2_low_confidence_agree,4,185,0.2503382950,5,739,2026,case2_low_confidence_agree_9,125.8307443333327,125.19475299995975,125.19475299995975,1.0277661685137323,"[127.28059300002315, 125.19475299995975, 125.01688700001523]",,64291.792118999976,110.37831866671392,110.41875299997628,110.41875299997628,0.10958455231286102,"[110.4876660001537, 110.22853700001178, 110.41875299997628]",,49770.73164600006,,,,,,
