example_index,input_mode,model,video_id,question,choices,correct_choice,key,acc112,acc224,gold_label,raw_pred_label,pred_label,confidence,reason,parse_error,default_fs,routed_fs,routed_acc,source_112,source_224,raw_response
0,question_choices,gpt-5.4-mini,1_plotQA/1,How does the man in the black sweater finally disappear from the screen?,"[""He slowly moves to the edge of the screen, eventually disappearing from the screen."", ""He walks into the cabin, disappearing from the screen."", ""He walks into the door in the wall and leaves"", ""He is blocked by other objects, gradually disappearing from the screen.""]",C,"{""choices"": ""[\""He slowly moves to the edge of the screen, eventually disappearing from the screen.\"", \""He walks into the cabin, disappearing from the screen.\"", \""He walks into the door in the wall and leaves\"", \""He is blocked by other objects, gradually disappearing from the screen.\""]"", ""correct_choice"": ""C"", ""question"": ""How does the man in the black sweater finally disappear from the screen?"", ""video_id"": ""1_plotQA/1""}",0.0,0.0,tie,route_112,route_112,0.92,"Requires tracking the man's movement and how he exits over time, so wider temporal coverage is more useful.",,224,112,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs112_lb72_rs144_front/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs224_lb18_rs36_front/1_0.csv,"{""route"":""fs112"",""confidence"":0.92,""reason"":""Requires tracking the man's movement and how he exits over time, so wider temporal coverage is more useful.""}"
1,question_choices,gpt-5.4-mini,1_plotQA/1,What is the man's mood after his unsuccessful attempt to hit the wall?,"[""Surprised"", ""Neutral"", ""Happy"", ""Disappointed""]",D,"{""choices"": ""[\""Surprised\"", \""Neutral\"", \""Happy\"", \""Disappointed\""]"", ""correct_choice"": ""D"", ""question"": ""What is the man's mood after his unsuccessful attempt to hit the wall?"", ""video_id"": ""1_plotQA/1""}",1.0,1.0,tie,route_112,route_112,0.86,"Requires interpreting the man's emotional state after an event, which depends on temporal context and action outcome rather than fine visual detail.",,224,112,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs112_lb72_rs144_front/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs224_lb18_rs36_front/1_0.csv,"{""route"":""fs112"",""confidence"":0.86,""reason"":""Requires interpreting the man's emotional state after an event, which depends on temporal context and action outcome rather than fine visual detail.""}"
2,question_choices,gpt-5.4-mini,1_plotQA/1,Why does the man suddenly stand up from the sailboat and walk to the other end of the boat at the beginning of the video?,"[""A wall blocks his way"", ""He has to complete some important tasks"", ""He wants to talk to other people on the boat"", ""He wants to check the weather or sea conditions to ensure the safety of navigation.""]",A,"{""choices"": ""[\""A wall blocks his way\"", \""He has to complete some important tasks\"", \""He wants to talk to other people on the boat\"", \""He wants to check the weather or sea conditions to ensure the safety of navigation.\""]"", ""correct_choice"": ""A"", ""question"": ""Why does the man suddenly stand up from the sailboat and walk to the other end of the boat at the beginning of the video?"", ""video_id"": ""1_plotQA/1""}",0.0,0.0,tie,route_112,route_112,0.88,Needs temporal context and understanding of actions on the boat rather than fine visual detail.,,224,112,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs112_lb72_rs144_front/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs224_lb18_rs36_front/1_0.csv,"{""route"":""fs112"",""confidence"":0.88,""reason"":""Needs temporal context and understanding of actions on the boat rather than fine visual detail.""}"
3,question_choices,gpt-5.4-mini,1_plotQA/4,What color is the man's clothing at the beginning of the video?,"[""Red"", ""Black"", ""Yellow"", ""White""]",B,"{""choices"": ""[\""Red\"", \""Black\"", \""Yellow\"", \""White\""]"", ""correct_choice"": ""B"", ""question"": ""What color is the man's clothing at the beginning of the video?"", ""video_id"": ""1_plotQA/4""}",1.0,1.0,tie,route_224,route_224,0.93,"Asks about a specific visual detail (clothing color) at the beginning, so higher spatial resolution is preferable.",,224,224,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs112_lb72_rs144_front/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs224_lb18_rs36_front/1_0.csv,"{""route"":""fs224"",""confidence"":0.93,""reason"":""Asks about a specific visual detail (clothing color) at the beginning, so higher spatial resolution is preferable.""}"
4,question_choices,gpt-5.4-mini,1_plotQA/8,What color are the shoes that the main cartoon character in the video is wearing?,"[""Green"", ""Red"", ""White"", ""Purple""]",D,"{""choices"": ""[\""Green\"", \""Red\"", \""White\"", \""Purple\""]"", ""correct_choice"": ""D"", ""question"": ""What color are the shoes that the main cartoon character in the video is wearing?"", ""video_id"": ""1_plotQA/8""}",0.0,0.0,tie,route_224,route_224,0.96,Requires fine visual detail about a character’s clothing color.,,224,224,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs112_lb72_rs144_front/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs224_lb18_rs36_front/1_0.csv,"{""route"":""fs224"",""confidence"":0.96,""reason"":""Requires fine visual detail about a character’s clothing color.""}"
5,question_choices,gpt-5.4-mini,1_plotQA/8,What color is the beard of the captain on the ship in the video?,"[""Brown"", ""Red"", ""Black"", ""Has a long white beard""]",D,"{""choices"": ""[\""Brown\"", \""Red\"", \""Black\"", \""Has a long white beard\""]"", ""correct_choice"": ""D"", ""question"": ""What color is the beard of the captain on the ship in the video?"", ""video_id"": ""1_plotQA/8""}",1.0,1.0,tie,route_224,route_224,0.96,Asks about a fine visual detail (beard color) of a specific person.,,224,224,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs112_lb72_rs144_front/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs224_lb18_rs36_front/1_0.csv,"{""route"":""fs224"",""confidence"":0.96,""reason"":""Asks about a fine visual detail (beard color) of a specific person.""}"
6,question_choices,gpt-5.4-mini,1_plotQA/8,What color is the top worn by the pink-haired cartoon character that appears at the end of the video?,"[""Red"", ""Green"", ""Blue"", ""Orange""]",A,"{""choices"": ""[\""Red\"", \""Green\"", \""Blue\"", \""Orange\""]"", ""correct_choice"": ""A"", ""question"": ""What color is the top worn by the pink-haired cartoon character that appears at the end of the video?"", ""video_id"": ""1_plotQA/8""}",0.0,1.0,route_224,route_224,route_224,0.93,Needs fine visual detail to identify the character’s clothing color at the end.,,224,224,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs112_lb72_rs144_front/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs224_lb18_rs36_front/1_0.csv,"{""route"":""fs224"",""confidence"":0.93,""reason"":""Needs fine visual detail to identify the character’s clothing color at the end.""}"
7,question_choices,gpt-5.4-mini,1_plotQA/8,What is the weather when the main cartoon character meets his friends in the video?,"[""Cloudy"", ""Foggy"", ""Sunny"", ""Rainy""]",C,"{""choices"": ""[\""Cloudy\"", \""Foggy\"", \""Sunny\"", \""Rainy\""]"", ""correct_choice"": ""C"", ""question"": ""What is the weather when the main cartoon character meets his friends in the video?"", ""video_id"": ""1_plotQA/8""}",1.0,1.0,tie,route_112,route_112,0.86,Weather at a meeting scene likely depends on broader temporal context and scene setting rather than fine detail.,,224,112,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs112_lb72_rs144_front/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs224_lb18_rs36_front/1_0.csv,"{""route"":""fs112"",""confidence"":0.86,""reason"":""Weather at a meeting scene likely depends on broader temporal context and scene setting rather than fine detail.""}"
8,question_choices,gpt-5.4-mini,1_plotQA/9,"At the beginning of the video, how do the person in light-colored clothes and the person in dark-colored clothes enter the scene?","[""Get off the car into the scene"", ""They climb over an iron fence to enter the scene"", ""Run from the field into the scene"", ""Jump out of the water into the scene""]",B,"{""choices"": ""[\""Get off the car into the scene\"", \""They climb over an iron fence to enter the scene\"", \""Run from the field into the scene\"", \""Jump out of the water into the scene\""]"", ""correct_choice"": ""B"", ""question"": ""At the beginning of the video, how do the person in light-colored clothes and the person in dark-colored clothes enter the scene?"", ""video_id"": ""1_plotQA/9""}",1.0,1.0,tie,route_112,route_112,0.86,"The question asks about how people enter at the beginning, which depends on early temporal context and action sequence rather than fine visual detail.",,224,112,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs112_lb72_rs144_front/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs224_lb18_rs36_front/1_0.csv,"{""route"":""fs112"",""confidence"":0.86,""reason"":""The question asks about how people enter at the beginning, which depends on early temporal context and action sequence rather than fine visual detail.""}"
9,question_choices,gpt-5.4-mini,1_plotQA/9,How do the person in light-colored clothes and the person in dark-colored clothes climb onto the blue crane?,"[""Through the crane's hook"", ""By stepping on other people's shoulders"", ""Jumping down from a helicopter"", ""Jumping from the top of a truck""]",A,"{""choices"": ""[\""Through the crane's hook\"", \""By stepping on other people's shoulders\"", \""Jumping down from a helicopter\"", \""Jumping from the top of a truck\""]"", ""correct_choice"": ""A"", ""question"": ""How do the person in light-colored clothes and the person in dark-colored clothes climb onto the blue crane?"", ""video_id"": ""1_plotQA/9""}",0.0,0.0,tie,route_112,route_112,0.86,"The question asks about the sequence of how two people climb onto the crane, which depends on temporal action context rather than fine visual detail.",,224,112,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs112_lb72_rs144_front/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs224_lb18_rs36_front/1_0.csv,"{""route"":""fs112"",""confidence"":0.86,""reason"":""The question asks about the sequence of how two people climb onto the crane, which depends on temporal action context rather than fine visual detail.""}"
10,question_choices,gpt-5.4-mini,1_plotQA/9,Why did the person in light-colored clothes release the person in dark-colored clothes at the end of the video?,"[""The person in dark-colored clothes defeated the person in light-colored clothes"", ""The person in dark-colored clothes sneaked away when the person in light-colored clothes was not paying attention"", ""The person in light-colored clothes was blocked by armed personnel in a yard"", ""The person in light-colored clothes was suddenly moved""]",C,"{""choices"": ""[\""The person in dark-colored clothes defeated the person in light-colored clothes\"", \""The person in dark-colored clothes sneaked away when the person in light-colored clothes was not paying attention\"", \""The person in light-colored clothes was blocked by armed personnel in a yard\"", \""The person in light-colored clothes was suddenly moved\""]"", ""correct_choice"": ""C"", ""question"": ""Why did the person in light-colored clothes release the person in dark-colored clothes at the end of the video?"", ""video_id"": ""1_plotQA/9""}",0.0,0.0,tie,route_112,route_112,0.92,"Requires understanding the sequence of actions and the end of the interaction, not fine visual detail.",,224,112,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs112_lb72_rs144_front/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs224_lb18_rs36_front/1_0.csv,"{""route"":""fs112"",""confidence"":0.92,""reason"":""Requires understanding the sequence of actions and the end of the interaction, not fine visual detail.""}"
11,question_choices,gpt-5.4-mini,1_plotQA/en_tv_1,"After the woman in the red coat enters the car, what happens to her?","[""Car accident"", ""She is hit"", ""She is scolded"", ""She is threatened with a gun""]",D,"{""choices"": ""[\""Car accident\"", \""She is hit\"", \""She is scolded\"", \""She is threatened with a gun\""]"", ""correct_choice"": ""D"", ""question"": ""After the woman in the red coat enters the car, what happens to her?"", ""video_id"": ""1_plotQA/en_tv_1""}",1.0,1.0,tie,route_112,route_112,0.93,"Requires temporal sequence and event outcome after an action, so wider temporal coverage is more useful.",,224,112,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs112_lb72_rs144_front/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs224_lb18_rs36_front/1_0.csv,"{""route"":""fs112"",""confidence"":0.93,""reason"":""Requires temporal sequence and event outcome after an action, so wider temporal coverage is more useful.""}"
12,question_choices,gpt-5.4-mini,1_plotQA/en_tv_1,"At the beginning of the video, a woman in a red coat and a man with a hat are talking in the car. What does the man do after he opens the car door and leaves?","[""Sleep"", ""Eat"", ""Make a phone call"", ""Play games""]",C,"{""choices"": ""[\""Sleep\"", \""Eat\"", \""Make a phone call\"", \""Play games\""]"", ""correct_choice"": ""C"", ""question"": ""At the beginning of the video, a woman in a red coat and a man with a hat are talking in the car. What does the man do after he opens the car door and leaves?"", ""video_id"": ""1_plotQA/en_tv_1""}",1.0,1.0,tie,route_112,route_112,0.91,Requires tracking event sequence and actions after leaving the car.,,224,112,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs112_lb72_rs144_front/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu/fs224_lb18_rs36_front/1_0.csv,"{""route"":""fs112"",""confidence"":0.91,""reason"":""Requires tracking event sequence and actions after leaving the car.""}"
