example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response
0,"{""choices"": ""[\""More built\"", \""Quieter\"", \""More animated\"", \""Slimer\""]"", ""correct_choice"": ""A"", ""question"": ""Compared to the character the Best Actor portrayed in the movie, the Best Actor winner is ___ on the stage."", ""video_id"": ""-WnyRMZqV1U""}",-WnyRMZqV1U,"Compared to the character the Best Actor portrayed in the movie, the Best Actor winner is ___ on the stage.","[""More built"", ""Quieter"", ""More animated"", ""Slimer""]","entity recognition, reasoning",A,A,C,1.0,0.0,route_112,prob_margin,0.4,lt,0.21555790305137634,True,False,llm,llm_verifier_disagreement,route_224,X,0.67,"X has higher top1_prob and much larger prob_margin, with slightly lower entropy, so it looks more reliable.",,224,224,0.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.67,""reason"":""X has higher top1_prob and much larger prob_margin, with slightly lower entropy, so it looks more reliable.""}"
1,"{""choices"": ""[\""5, 1\"", \""2, 1\"", \""4, 0\"", \""3, 1\""]"", ""correct_choice"": ""B"", ""question"": ""For each award, the number of presenters is different. What are the maximum and minimum numbers of presenters in the video?"", ""video_id"": ""-WnyRMZqV1U""}",-WnyRMZqV1U,"For each award, the number of presenters is different. What are the maximum and minimum numbers of presenters in the video?","[""5, 1"", ""2, 1"", ""4, 0"", ""3, 1""]","entity recognition, event understanding",B,D,D,0.0,0.0,tie,prob_margin,0.4,lt,0.26035183668136597,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,
2,"{""choices"": ""[\""Fictional, from a movie\"", \""Fictional, from a documentary\"", \""Real, from live\"", \""Real, from news report\""]"", ""correct_choice"": ""A"", ""question"": ""Is the scene where individuals are seen taking photos with the Pope part fictional or real? Which sentence best describes the place this scene happens?"", ""video_id"": ""-WnyRMZqV1U""}",-WnyRMZqV1U,Is the scene where individuals are seen taking photos with the Pope part fictional or real? Which sentence best describes the place this scene happens?,"[""Fictional, from a movie"", ""Fictional, from a documentary"", ""Real, from live"", ""Real, from news report""]",reasoning,A,C,C,0.0,0.0,tie,prob_margin,0.4,lt,0.45307229459285736,False,True,llm,accept_fs224_high_confidence,route_224,,,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,
3,"{""choices"": ""[\""Black dress, black suit, blue dress\"", \""Two black dresses, black suit\"", \""Black dress, black suit, white suit\"", \""Blue dress, two blue suits\""]"", ""correct_choice"": ""A"", ""question"": ""What clothes do three winners who win Best Makeup and Hairstyling Design wear?"", ""video_id"": ""-WnyRMZqV1U""}",-WnyRMZqV1U,What clothes do three winners who win Best Makeup and Hairstyling Design wear?,"[""Black dress, black suit, blue dress"", ""Two black dresses, black suit"", ""Black dress, black suit, white suit"", ""Blue dress, two blue suits""]",entity recognition,A,A,A,1.0,1.0,tie,prob_margin,0.4,lt,0.11702755093574524,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,
4,"{""choices"": ""[\""Headphones\"", \""Earrings\"", \""Glasses\"", \""Hearing aid\""]"", ""correct_choice"": ""B"", ""question"": ""What does the last present wear?"", ""video_id"": ""-WnyRMZqV1U""}",-WnyRMZqV1U,What does the last present wear?,"[""Headphones"", ""Earrings"", ""Glasses"", ""Hearing aid""]","entity recognition, event understanding",B,C,C,0.0,0.0,tie,prob_margin,0.4,lt,0.7148730158805847,False,True,llm,accept_fs224_high_confidence,route_224,,,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,
5,"{""choices"": ""[\""She hugs him\"", \""She gives a high five\"", \""She slaps him\"", \""She kisses him\""]"", ""correct_choice"": ""A"", ""question"": ""What does the presenter do to Brad Pitt when he wins the award?"", ""video_id"": ""-WnyRMZqV1U""}",-WnyRMZqV1U,What does the presenter do to Brad Pitt when he wins the award?,"[""She hugs him"", ""She gives a high five"", ""She slaps him"", ""She kisses him""]",event understanding,A,A,D,1.0,0.0,route_112,prob_margin,0.4,lt,0.6043879836797714,False,False,llm,accept_fs224_high_confidence,route_224,,,,,224,224,0.0,224,0.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,
6,"{""choices"": ""[\""Date\"", \""QR code\"", \""Channel name\"", \""Nothing\""]"", ""correct_choice"": ""B"", ""question"": ""What frequently appears at the top left corner of the video?"", ""video_id"": ""-WnyRMZqV1U""}",-WnyRMZqV1U,What frequently appears at the top left corner of the video?,"[""Date"", ""QR code"", ""Channel name"", ""Nothing""]","key information retrieval, entity recognition",B,C,B,0.0,1.0,route_224,prob_margin,0.4,lt,0.9206399247050285,False,False,llm,accept_fs224_high_confidence,route_224,,,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,
7,"{""choices"": ""[\""Americans\"", \""Chinese\"", \""Koreans\"", \""Japanese\""]"", ""correct_choice"": ""C"", ""question"": ""What is the nationality of the producers for the Best Picture award?"", ""video_id"": ""-WnyRMZqV1U""}",-WnyRMZqV1U,What is the nationality of the producers for the Best Picture award?,"[""Americans"", ""Chinese"", ""Koreans"", ""Japanese""]",event understanding,C,A,A,0.0,0.0,tie,prob_margin,0.4,lt,0.9173619206994772,False,True,llm,accept_fs224_high_confidence,route_224,,,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,
8,"{""choices"": ""[\""Actor and producer\"", \""Employer and employee\"", \""Father and son\"", \""Senior producer and young producer\""]"", ""correct_choice"": ""D"", ""question"": ""What is the relationship between Bong Joon Ho and the elderly man whom people are standing up and applauding for during his speech?"", ""video_id"": ""-WnyRMZqV1U""}",-WnyRMZqV1U,What is the relationship between Bong Joon Ho and the elderly man whom people are standing up and applauding for during his speech?,"[""Actor and producer"", ""Employer and employee"", ""Father and son"", ""Senior producer and young producer""]","event understanding, key information retrieval, reasoning",D,A,A,0.0,0.0,tie,prob_margin,0.4,lt,0.4442739188671112,False,True,llm,accept_fs224_high_confidence,route_224,,,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,
9,"{""choices"": ""[\""The entire video narrates the complete process of the 2020 Golden Globe ceremony, where numerous figures from the film industry participate, with many individuals being nominated and awarded\"", \""The entire video narrates the complete process of the 2020 Oscars ceremony, where numerous figures from the film industry participate, with many individuals being nominated and awarded\"", \""The entire video narrates the complete process of the 2020 Olympics, where numerous athletes around the world participate, with many individuals win the medels\"", \""The entire video narrates the complete process of the 2020 Golden Horse Awards, where numerous figures from the film industry participate, with many individuals being nominated and awarded\""]"", ""correct_choice"": ""B"", ""question"": ""What kind of content does the entire video cover?"", ""video_id"": ""-WnyRMZqV1U""}",-WnyRMZqV1U,What kind of content does the entire video cover?,"[""The entire video narrates the complete process of the 2020 Golden Globe ceremony, where numerous figures from the film industry participate, with many individuals being nominated and awarded"", ""The entire video narrates the complete process of the 2020 Oscars ceremony, where numerous figures from the film industry participate, with many individuals being nominated and awarded"", ""The entire video narrates the complete process of the 2020 Olympics, where numerous athletes around the world participate, with many individuals win the medels"", ""The entire video narrates the complete process of the 2020 Golden Horse Awards, where numerous figures from the film industry participate, with many individuals being nominated and awarded""]",summarization,B,B,B,1.0,1.0,tie,prob_margin,0.4,lt,0.972985602915287,False,True,llm,accept_fs224_high_confidence,route_224,,,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,
