example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,gate_fs,challenger_fs,default_gate_value,default_low_confidence,default_challenger_agree,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,min_fs112_verifier_confidence,fs112_confidence_fallback,fs112_confidence_fallback_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response
0,"{""choices"": ""[\""He slowly moves to the edge of the screen, eventually disappearing from the screen.\"", \""He walks into the cabin, disappearing from the screen.\"", \""He walks into the door in the wall and leaves\"", \""He is blocked by other objects, gradually disappearing from the screen.\""]"", ""correct_choice"": ""C"", ""question"": ""How does the man in the black sweater finally disappear from the screen?"", ""video_id"": ""1_plotQA/1""}",1_plotQA/1,How does the man in the black sweater finally disappear from the screen?,"[""He slowly moves to the edge of the screen, eventually disappearing from the screen."", ""He walks into the cabin, disappearing from the screen."", ""He walks into the door in the wall and leaves"", ""He is blocked by other objects, gradually disappearing from the screen.""]",plotQA,C,A,A,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.2249254286289215,True,True,0.2249254286289215,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
1,"{""choices"": ""[\""Surprised\"", \""Neutral\"", \""Happy\"", \""Disappointed\""]"", ""correct_choice"": ""D"", ""question"": ""What is the man's mood after his unsuccessful attempt to hit the wall?"", ""video_id"": ""1_plotQA/1""}",1_plotQA/1,What is the man's mood after his unsuccessful attempt to hit the wall?,"[""Surprised"", ""Neutral"", ""Happy"", ""Disappointed""]",plotQA,D,D,D,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.9096472337841988,False,True,0.9096472337841988,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
2,"{""choices"": ""[\""A wall blocks his way\"", \""He has to complete some important tasks\"", \""He wants to talk to other people on the boat\"", \""He wants to check the weather or sea conditions to ensure the safety of navigation.\""]"", ""correct_choice"": ""A"", ""question"": ""Why does the man suddenly stand up from the sailboat and walk to the other end of the boat at the beginning of the video?"", ""video_id"": ""1_plotQA/1""}",1_plotQA/1,Why does the man suddenly stand up from the sailboat and walk to the other end of the boat at the beginning of the video?,"[""A wall blocks his way"", ""He has to complete some important tasks"", ""He wants to talk to other people on the boat"", ""He wants to check the weather or sea conditions to ensure the safety of navigation.""]",plotQA,A,D,D,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.8410664945840836,False,True,0.8410664945840836,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
3,"{""choices"": ""[\""Red\"", \""Black\"", \""Yellow\"", \""White\""]"", ""correct_choice"": ""B"", ""question"": ""What color is the man's clothing at the beginning of the video?"", ""video_id"": ""1_plotQA/4""}",1_plotQA/4,What color is the man's clothing at the beginning of the video?,"[""Red"", ""Black"", ""Yellow"", ""White""]",plotQA,B,B,B,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.9825950884260237,False,True,0.9825950884260237,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
4,"{""choices"": ""[\""Green\"", \""Red\"", \""White\"", \""Purple\""]"", ""correct_choice"": ""D"", ""question"": ""What color are the shoes that the main cartoon character in the video is wearing?"", ""video_id"": ""1_plotQA/8""}",1_plotQA/8,What color are the shoes that the main cartoon character in the video is wearing?,"[""Green"", ""Red"", ""White"", ""Purple""]",plotQA,D,A,C,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.0767451822757721,True,False,0.0767451822757721,True,False,llm,llm_verifier_disagreement,route_224,X,0.61,"X has higher top1_prob and prob_margin, with slightly lower entropy than Y.",0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.61,""reason"":""X has higher top1_prob and prob_margin, with slightly lower entropy than Y.""}"
5,"{""choices"": ""[\""Brown\"", \""Red\"", \""Black\"", \""Has a long white beard\""]"", ""correct_choice"": ""D"", ""question"": ""What color is the beard of the captain on the ship in the video?"", ""video_id"": ""1_plotQA/8""}",1_plotQA/8,What color is the beard of the captain on the ship in the video?,"[""Brown"", ""Red"", ""Black"", ""Has a long white beard""]",plotQA,D,D,D,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.9942163462983444,False,True,0.9942163462983444,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
6,"{""choices"": ""[\""Red\"", \""Green\"", \""Blue\"", \""Orange\""]"", ""correct_choice"": ""A"", ""question"": ""What color is the top worn by the pink-haired cartoon character that appears at the end of the video?"", ""video_id"": ""1_plotQA/8""}",1_plotQA/8,What color is the top worn by the pink-haired cartoon character that appears at the end of the video?,"[""Red"", ""Green"", ""Blue"", ""Orange""]",plotQA,A,D,A,0.0,1.0,route_224,prob_margin,0.8,lt,224,112,0.08098456263542175,True,False,0.08098456263542175,True,False,llm,llm_verifier_disagreement,route_224,X,0.56,"X has slightly better margin and lower entropy overall, despite Y having a marginally higher top1_prob.",0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.56,""reason"":""X has slightly better margin and lower entropy overall, despite Y having a marginally higher top1_prob.""}"
7,"{""choices"": ""[\""Cloudy\"", \""Foggy\"", \""Sunny\"", \""Rainy\""]"", ""correct_choice"": ""C"", ""question"": ""What is the weather when the main cartoon character meets his friends in the video?"", ""video_id"": ""1_plotQA/8""}",1_plotQA/8,What is the weather when the main cartoon character meets his friends in the video?,"[""Cloudy"", ""Foggy"", ""Sunny"", ""Rainy""]",plotQA,C,C,C,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.39278602600097656,True,True,0.39278602600097656,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
8,"{""choices"": ""[\""Get off the car into the scene\"", \""They climb over an iron fence to enter the scene\"", \""Run from the field into the scene\"", \""Jump out of the water into the scene\""]"", ""correct_choice"": ""B"", ""question"": ""At the beginning of the video, how do the person in light-colored clothes and the person in dark-colored clothes enter the scene?"", ""video_id"": ""1_plotQA/9""}",1_plotQA/9,"At the beginning of the video, how do the person in light-colored clothes and the person in dark-colored clothes enter the scene?","[""Get off the car into the scene"", ""They climb over an iron fence to enter the scene"", ""Run from the field into the scene"", ""Jump out of the water into the scene""]",plotQA,B,B,B,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.973217093385756,False,True,0.973217093385756,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
9,"{""choices"": ""[\""Through the crane's hook\"", \""By stepping on other people's shoulders\"", \""Jumping down from a helicopter\"", \""Jumping from the top of a truck\""]"", ""correct_choice"": ""A"", ""question"": ""How do the person in light-colored clothes and the person in dark-colored clothes climb onto the blue crane?"", ""video_id"": ""1_plotQA/9""}",1_plotQA/9,How do the person in light-colored clothes and the person in dark-colored clothes climb onto the blue crane?,"[""Through the crane's hook"", ""By stepping on other people's shoulders"", ""Jumping down from a helicopter"", ""Jumping from the top of a truck""]",plotQA,A,B,B,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.6058149635791779,True,True,0.6058149635791779,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
