example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response
6,"{""choices"": ""[\""Red\"", \""Green\"", \""Blue\"", \""Orange\""]"", ""correct_choice"": ""A"", ""question"": ""What color is the top worn by the pink-haired cartoon character that appears at the end of the video?"", ""video_id"": ""1_plotQA/8""}",1_plotQA/8,What color is the top worn by the pink-haired cartoon character that appears at the end of the video?,"[""Red"", ""Green"", ""Blue"", ""Orange""]",plotQA,A,D,A,0.0,1.0,route_224,prob_margin,0.4,lt,0.08098456263542175,True,False,llm,llm_verifier_disagreement,route_224,X,0.58,"X has slightly better confidence signals overall, especially a larger probability margin and comparable entropy.",,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.58,""reason"":""X has slightly better confidence signals overall, especially a larger probability margin and comparable entropy.""}"
13,"{""choices"": ""[\""Leave\"", \""Withdraw money\"", \""Sleep\"", \""Go to see a man in white clothes\""]"", ""correct_choice"": ""D"", ""question"": ""At the end of the video, what does the man in the black coat force the woman in the red coat to do?"", ""video_id"": ""1_plotQA/en_tv_1""}",1_plotQA/en_tv_1,"At the end of the video, what does the man in the black coat force the woman in the red coat to do?","[""Leave"", ""Withdraw money"", ""Sleep"", ""Go to see a man in white clothes""]",plotQA,D,B,D,0.0,1.0,route_224,prob_margin,0.4,lt,0.16459861397743225,True,False,llm,llm_verifier_disagreement,route_224,X,0.67,"X has higher top1_prob, larger margin, and lower entropy than Y.",,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.67,""reason"":""X has higher top1_prob, larger margin, and lower entropy than Y.""}"
34,"{""choices"": ""[\""Blue\"", \""Yellow\"", \""Green\"", \""White\""]"", ""correct_choice"": ""C"", ""question"": ""What color is the door of the room where the person is locked?"", ""video_id"": ""1_plotQA/en_tv_16""}",1_plotQA/en_tv_16,What color is the door of the room where the person is locked?,"[""Blue"", ""Yellow"", ""Green"", ""White""]",plotQA,C,D,C,0.0,1.0,route_224,prob_margin,0.4,lt,0.17215889692306519,True,False,llm,llm_verifier_disagreement,route_112,X,0.98,"X has much stronger confidence signals across top1_prob, margin, and entropy.",,224,112,0.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.98,""reason"":""X has much stronger confidence signals across top1_prob, margin, and entropy.""}"
42,"{""choices"": ""[\""Green\"", \""Purple\"", \""White\"", \""Black\""]"", ""correct_choice"": ""D"", ""question"": ""In the scene where four people are dining and chatting, what color is the dress of the woman wearing a necklace?"", ""video_id"": ""1_plotQA/en_tv_19""}",1_plotQA/en_tv_19,"In the scene where four people are dining and chatting, what color is the dress of the woman wearing a necklace?","[""Green"", ""Purple"", ""White"", ""Black""]",plotQA,D,B,D,0.0,1.0,route_224,prob_margin,0.4,lt,0.10325661301612854,True,False,llm,llm_verifier_disagreement,route_112,X,0.54,"X has slightly higher top1_prob and prob_margin; Y is only marginally lower entropy, so X is a bit more supported overall.",,224,112,0.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.54,""reason"":""X has slightly higher top1_prob and prob_margin; Y is only marginally lower entropy, so X is a bit more supported overall.""}"
43,"{""choices"": ""[\""Green\"", \""Black\"", \""Red\"", \""White\""]"", ""correct_choice"": ""B"", ""question"": ""In the scene where two people get out of the car, what color is the car?"", ""video_id"": ""1_plotQA/en_tv_19""}",1_plotQA/en_tv_19,"In the scene where two people get out of the car, what color is the car?","[""Green"", ""Black"", ""Red"", ""White""]",plotQA,B,D,B,0.0,1.0,route_224,prob_margin,0.4,lt,0.06007924675941467,True,False,llm,llm_verifier_disagreement,route_112,X,0.82,"X has much stronger confidence signals: higher top1_prob and prob_margin, lower entropy.",,224,112,0.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.82,""reason"":""X has much stronger confidence signals: higher top1_prob and prob_margin, lower entropy.""}"
48,"{""choices"": ""[\""Green\"", \""White\"", \""Red\"", \""Yellow\""]"", ""correct_choice"": ""C"", ""question"": ""In the movie, two people have a conflict in a room, what color are the walls in the room?"", ""video_id"": ""1_plotQA/en_tv_20""}",1_plotQA/en_tv_20,"In the movie, two people have a conflict in a room, what color are the walls in the room?","[""Green"", ""White"", ""Red"", ""Yellow""]",plotQA,C,C,B,1.0,0.0,route_112,prob_margin,0.4,lt,0.0583324134349823,True,False,llm,llm_verifier_disagreement,route_112,Y,0.74,"Y has higher top1_prob and much larger prob_margin, with slightly lower entropy, so it looks more confident.",,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.74,""reason"":""Y has higher top1_prob and much larger prob_margin, with slightly lower entropy, so it looks more confident.""}"
49,"{""choices"": ""[\""Red\"", \""Green\"", \""Yellow\"", \""White\""]"", ""correct_choice"": ""A"", ""question"": ""What color is the chair in the room at the beginning of the video?"", ""video_id"": ""1_plotQA/en_tv_20""}",1_plotQA/en_tv_20,What color is the chair in the room at the beginning of the video?,"[""Red"", ""Green"", ""Yellow"", ""White""]",plotQA,A,A,D,1.0,0.0,route_112,prob_margin,0.4,lt,0.2929862141609192,True,False,llm,llm_verifier_disagreement,route_224,Y,0.67,"Y has higher top1_prob and prob_margin, with slightly lower entropy.",,224,224,0.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.67,""reason"":""Y has higher top1_prob and prob_margin, with slightly lower entropy.""}"
52,"{""choices"": ""[\""Green\"", \""White\"", \""Orange\"", \""Blue\""]"", ""correct_choice"": ""B"", ""question"": ""In the scene where two people are chatting on the street, what color are the numbers on the wall?"", ""video_id"": ""1_plotQA/en_tv_21""}",1_plotQA/en_tv_21,"In the scene where two people are chatting on the street, what color are the numbers on the wall?","[""Green"", ""White"", ""Orange"", ""Blue""]",plotQA,B,B,A,1.0,0.0,route_112,prob_margin,0.4,lt,0.28940391540527344,True,False,llm,llm_verifier_disagreement,route_112,X,0.74,"X has higher top1_prob and prob_margin, with slightly lower entropy, so it looks more reliable.",,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.74,""reason"":""X has higher top1_prob and prob_margin, with slightly lower entropy, so it looks more reliable.""}"
53,"{""choices"": ""[\""Green\"", \""Orange\"", \""Rose Red\"", \""Blue\""]"", ""correct_choice"": ""C"", ""question"": ""In the scene where two people are conversing, what color is the dress of the woman wearing the necklace?"", ""video_id"": ""1_plotQA/en_tv_21""}",1_plotQA/en_tv_21,"In the scene where two people are conversing, what color is the dress of the woman wearing the necklace?","[""Green"", ""Orange"", ""Rose Red"", ""Blue""]",plotQA,C,C,D,1.0,0.0,route_112,prob_margin,0.4,lt,0.11785054206848145,True,False,llm,llm_verifier_disagreement,route_112,Y,0.92,"Y has much stronger confidence signals: higher top1_prob and prob_margin, plus lower entropy.",,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.92,""reason"":""Y has much stronger confidence signals: higher top1_prob and prob_margin, plus lower entropy.""}"
63,"{""choices"": ""[\""Green\"", \""Red\"", \""Blue\"", \""Black\""]"", ""correct_choice"": ""A"", ""question"": ""What color is the top worn by the woman among the three people chatting at the end of the clip?"", ""video_id"": ""1_plotQA/en_tv_24""}",1_plotQA/en_tv_24,What color is the top worn by the woman among the three people chatting at the end of the clip?,"[""Green"", ""Red"", ""Blue"", ""Black""]",plotQA,A,A,D,1.0,0.0,route_112,prob_margin,0.4,lt,0.054978251457214355,True,False,llm,llm_verifier_disagreement,route_112,X,0.78,"X has higher top1 probability, larger margin, and lower entropy than Y.",,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.78,""reason"":""X has higher top1 probability, larger margin, and lower entropy than Y.""}"
