example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response
12,"{""choices"": ""[\""Magazine\"", \""Carton\"", \""Crate\"", \""Basket\"", \""Bowl\"", \""Shelf\"", \""Paper\"", \""Box\""]"", ""correct_choice"": ""B"", ""question"": ""In the video, when the white cat is walking, what is behind it?"", ""video_id"": ""-YO14FM76lY""}",-YO14FM76lY,"In the video, when the white cat is walking, what is behind it?","[""Magazine"", ""Carton"", ""Crate"", ""Basket"", ""Bowl"", ""Shelf"", ""Paper"", ""Box""]",Humor/funny / Entity Perception,B,D,B,0.0,1.0,route_224,prob_margin,0.4,lt,0.0,True,False,llm,llm_verifier_disagreement,route_112,X,0.58,"X has slightly higher top1_prob and prob_margin, with lower entropy than Y.",,224,112,0.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.58,""reason"":""X has slightly higher top1_prob and prob_margin, with lower entropy than Y.""}"
16,"{""choices"": ""[\""Rolled over the man's paper\"", \""Chewed on the man's pen\"", \""Knocked over the man's pen\"", \""Pawed at the man's sleeve\"", \""Knocked over the man's coffee\"", \""Sat on the man's keyboard\""]"", ""correct_choice"": ""C"", ""question"": ""What did the little tabby cat do when the man in white clothes was writing in the video?"", ""video_id"": ""-YO14FM76lY""}",-YO14FM76lY,What did the little tabby cat do when the man in white clothes was writing in the video?,"[""Rolled over the man's paper"", ""Chewed on the man's pen"", ""Knocked over the man's pen"", ""Pawed at the man's sleeve"", ""Knocked over the man's coffee"", ""Sat on the man's keyboard""]",Humor/funny / Event Perception,C,D,C,0.0,1.0,route_224,prob_margin,0.4,lt,0.033360958099365234,True,False,llm,llm_verifier_disagreement,route_224,X,0.58,"Slightly higher top1_prob and lower entropy; both are close, but X has the stronger confidence signal.",,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.58,""reason"":""Slightly higher top1_prob and lower entropy; both are close, but X has the stronger confidence signal.""}"
29,"{""choices"": ""[\""50 seconds\"", \""46 seconds\"", \""42 seconds\"", \""52 seconds\"", \""58 seconds\"", \""48 seconds\"", \""49 seconds\""]"", ""correct_choice"": ""F"", ""question"": ""How long did the third edit of the protagonist's photo in the video last?"", ""video_id"": ""-tpms_BbjHA""}",-tpms_BbjHA,How long did the third edit of the protagonist's photo in the video last?,"[""50 seconds"", ""46 seconds"", ""42 seconds"", ""52 seconds"", ""58 seconds"", ""48 seconds"", ""49 seconds""]",GUI / Time Cognition,F,F,B,1.0,0.0,route_112,prob_margin,0.4,lt,0.023860245943069458,True,False,llm,llm_verifier_disagreement,route_112,Y,0.52,"Slightly higher top1_prob and prob_margin, with marginally lower entropy.",,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.52,""reason"":""Slightly higher top1_prob and prob_margin, with marginally lower entropy.""}"
35,"{""choices"": ""[\""2, 3 and 4\"", \""2 and 3\"", \""Only 1\"", \""1, 3 and 4\"", \""1 and 3\"", \""1 and 2\""]"", ""correct_choice"": ""F"", ""question"": ""In the video, what is on the left side of the screen at 4:53? Which of the following options is correct? 1. There is a triangular cone on the left side of the screen, 2. There are three progress bars at the bottom of the screen, 3. Three words appear in the middle of the screen, 4. A cylinder appears in the middle of the screen"", ""video_id"": ""-tpms_BbjHA""}",-tpms_BbjHA,"In the video, what is on the left side of the screen at 4:53? Which of the following options is correct? 1. There is a triangular cone on the left side of the screen, 2. There are three progress bars at the bottom of the screen, 3. Three words appear in the middle of the screen, 4. A cylinder appears in the middle of the screen","[""2, 3 and 4"", ""2 and 3"", ""Only 1"", ""1, 3 and 4"", ""1 and 3"", ""1 and 2""]",GUI / Hallucination,F,B,F,0.0,1.0,route_224,prob_margin,0.4,lt,0.21756672859191895,True,False,llm,llm_verifier_disagreement,route_224,X,0.72,Higher top1_prob and much larger prob_margin; lower entropy also favors X.,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.72,""reason"":""Higher top1_prob and much larger prob_margin; lower entropy also favors X.""}"
45,"{""choices"": ""[\""12\"", \""8\"", \""10\"", \""9\"", \""7\"", \""6\""]"", ""correct_choice"": ""B"", ""question"": ""When making the cream cake in the video, a few cream balls were squeezed on the top layer of the cake."", ""video_id"": ""-xlmBoQ4paI""}",-xlmBoQ4paI,"When making the cream cake in the video, a few cream balls were squeezed on the top layer of the cake.","[""12"", ""8"", ""10"", ""9"", ""7"", ""6""]",Life Record / Text Perception,B,A,B,0.0,1.0,route_224,prob_margin,0.4,lt,0.03240309655666351,True,False,llm,llm_verifier_disagreement,route_112,Y,0.52,"Y has slightly higher top1_prob and prob_margin, with slightly lower entropy.",,224,112,0.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.52,""reason"":""Y has slightly higher top1_prob and prob_margin, with slightly lower entropy.""}"
50,"{""choices"": ""[\""charcoal\"", \""dark gray\"", \""slate\"", \""black\"", \""iron\"", \""metallic\""]"", ""correct_choice"": ""D"", ""question"": ""What color shelf is the black plastic basket pushed onto in the video?"", ""video_id"": ""02LnK6fEdJw""}",02LnK6fEdJw,What color shelf is the black plastic basket pushed onto in the video?,"[""charcoal"", ""dark gray"", ""slate"", ""black"", ""iron"", ""metallic""]",Embodied Expert / Entity Perception,D,F,D,0.0,1.0,route_224,prob_margin,0.4,lt,0.20902439951896667,True,False,llm,llm_verifier_disagreement,route_112,Y,0.72,"Y has higher top1_prob and much larger prob_margin, with slightly lower entropy.",,224,112,0.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.72,""reason"":""Y has higher top1_prob and much larger prob_margin, with slightly lower entropy.""}"
56,"{""choices"": ""[\""2 types\"", \""3 types\"", \""1 type\"", \""7 types\"", \""4 types\"", \""5 types\"", \""6 types\""]"", ""correct_choice"": ""E"", ""question"": ""How many colors of lip gloss did the heroine in the video apply on her hands?"", ""video_id"": ""07QhrrI5B4k""}",07QhrrI5B4k,How many colors of lip gloss did the heroine in the video apply on her hands?,"[""2 types"", ""3 types"", ""1 type"", ""7 types"", ""4 types"", ""5 types"", ""6 types""]",Life Record / Event Perception,E,E,B,1.0,0.0,route_112,prob_margin,0.4,lt,0.0,True,False,llm,llm_verifier_disagreement,route_112,X,0.67,Higher top1_prob and clear prob_margin; Y has zero margin.,,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.67,""reason"":""Higher top1_prob and clear prob_margin; Y has zero margin.""}"
61,"{""choices"": ""[\""Fix her hair and adjust her hat\"", \""Pick up a ring and examine it\"", \""Switch to a different pair of earrings\"", \""Take off the earrings and put them on\"", \""Remove a bracelet and place it aside\"", \""Put on a necklace and adjust it\"", \""Take off a watch and set it down\""]"", ""correct_choice"": ""D"", ""question"": ""What did the heroine do in the video between [[15:47,15:56]]?"", ""video_id"": ""07QhrrI5B4k""}",07QhrrI5B4k,"What did the heroine do in the video between [[15:47,15:56]]?","[""Fix her hair and adjust her hat"", ""Pick up a ring and examine it"", ""Switch to a different pair of earrings"", ""Take off the earrings and put them on"", ""Remove a bracelet and place it aside"", ""Put on a necklace and adjust it"", ""Take off a watch and set it down""]",Life Record / Time Perception,D,D,A,1.0,0.0,route_112,prob_margin,0.4,lt,0.26566968858242035,True,False,llm,llm_verifier_disagreement,route_224,Y,0.72,"Y has stronger confidence signals across top1_prob, prob_margin, and entropy.",,224,224,0.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.72,""reason"":""Y has stronger confidence signals across top1_prob, prob_margin, and entropy.""}"
81,"{""choices"": ""[\""Lying flat\"", \""Standing up\"", \""Sliding backward\"", \""Walking sideways\"", \""On all fours\"", \""Rolling over\"", \""Crouching\""]"", ""correct_choice"": ""A"", ""question"": ""How did the protagonist in the video rush out of the orange tunnel?"", ""video_id"": ""0__-AauBJz0""}",0__-AauBJz0,How did the protagonist in the video rush out of the orange tunnel?,"[""Lying flat"", ""Standing up"", ""Sliding backward"", ""Walking sideways"", ""On all fours"", ""Rolling over"", ""Crouching""]",Life Record / Event Perception,A,A,B,1.0,0.0,route_112,prob_margin,0.4,lt,0.20314571261405945,True,False,llm,llm_verifier_disagreement,route_112,X,0.67,"X has higher top1 probability and lower entropy, suggesting stronger overall confidence despite Y's slightly larger margin.",,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.67,""reason"":""X has higher top1 probability and lower entropy, suggesting stronger overall confidence despite Y's slightly larger margin.""}"
88,"{""choices"": ""[\""Spiral pattern\"", \""Grid pattern\"", \""Star pattern\"", \""Wave pattern\"", \""Triangle pattern\"", \""Maze pattern\"", \""Hexagonal pattern\"", \""Circular pattern\""]"", ""correct_choice"": ""H"", ""question"": ""In the video, when the protagonist finishes playing tunnel shuttle, what pattern appears on the screen?"", ""video_id"": ""0__-AauBJz0""}",0__-AauBJz0,"In the video, when the protagonist finishes playing tunnel shuttle, what pattern appears on the screen?","[""Spiral pattern"", ""Grid pattern"", ""Star pattern"", ""Wave pattern"", ""Triangle pattern"", ""Maze pattern"", ""Hexagonal pattern"", ""Circular pattern""]",Life Record / 2D Spatial Perception,H,A,H,0.0,1.0,route_224,prob_margin,0.4,lt,0.21852770447731018,True,False,llm,llm_verifier_disagreement,route_224,Y,0.72,"Y has stronger confidence signals overall: higher top1_prob, much larger prob_margin, and lower entropy.",,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.72,""reason"":""Y has stronger confidence signals overall: higher top1_prob, much larger prob_margin, and lower entropy.""}"
