example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,gate_fs,challenger_fs,default_gate_value,default_low_confidence,default_challenger_agree,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,min_fs112_verifier_confidence,fs112_confidence_fallback,fs112_confidence_fallback_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response,_routed_row_index,latency_case,latency_sample_index,case_full_count,case_full_ratio,case_sample_count,full_total_count,sample_seed
403,"{""choices"": ""[\""Dog\"", \""Cat\"", \""Rabbit\"", \""Spider\""]"", ""correct_choice"": ""D"", ""question"": ""What animal shape is the movable camera in the film?"", ""video_id"": ""1_plotQA/movie101_70""}",1_plotQA/movie101_70,What animal shape is the movable camera in the film?,"[""Dog"", ""Cat"", ""Rabbit"", ""Spider""]",plotQA,D,D,D,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.9661410478875041,False,True,0.9661410478875041,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,403,case1_high_confidence,0,1274,0.5860165593,5,2174,2026
999,"{""choices"": ""[\""On the table\"", \""In the shelf.\"", \""Under the bed\"", \""In the fridge\""]"", ""correct_choice"": ""B"", ""question"": ""Where did I put the red cap bottle?"", ""video_id"": ""3_ego/ego_32""}",3_ego/ego_32,Where did I put the red cap bottle?,"[""On the table"", ""In the shelf."", ""Under the bed"", ""In the fridge""]",ego,B,B,B,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.8746192418038845,False,True,0.8746192418038845,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,999,case1_high_confidence,1,1274,0.5860165593,5,2174,2026
1881,"{""choices"": ""[\""Vandalism\"", \""Abuse\"", \""Fighting\"", \""Arson\""]"", ""correct_choice"": ""A"", ""question"": ""Does this surveillance footage contain any anomalies? If yes, which kind of anomaly?"", ""video_id"": ""6_anomaly_reco/surveil_72""}",6_anomaly_reco/surveil_72,"Does this surveillance footage contain any anomalies? If yes, which kind of anomaly?","[""Vandalism"", ""Abuse"", ""Fighting"", ""Arson""]",anomaly_reco,A,D,A,0.0,1.0,route_224,prob_margin,0.5,lt,224,112,0.7599807232618332,False,False,0.7599807232618332,False,False,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,1881,case1_high_confidence,2,1274,0.5860165593,5,2174,2026
1907,"{""choices"": ""[\""Vandalism\"", \""Shooting\"", \""Burglary\"", \""Arrest\""]"", ""correct_choice"": ""C"", ""question"": ""Are there any irregularities in this surveillance video? If there are, what sort are they?"", ""video_id"": ""6_anomaly_reco/surveil_96""}",6_anomaly_reco/surveil_96,"Are there any irregularities in this surveillance video? If there are, what sort are they?","[""Vandalism"", ""Shooting"", ""Burglary"", ""Arrest""]",anomaly_reco,C,C,C,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.8568901494145393,False,True,0.8568901494145393,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,1907,case1_high_confidence,3,1274,0.5860165593,5,2174,2026
346,"{""choices"": ""[\""They ran away quickly\"", \""They lay down to hide\"", \""They rolled out a cannon to fight\"", \""They set up a machine gun\""]"", ""correct_choice"": ""C"", ""question"": ""What preparation did the soldiers in the camp make to fight against the enemy's tanks?"", ""video_id"": ""1_plotQA/movie101_52""}",1_plotQA/movie101_52,What preparation did the soldiers in the camp make to fight against the enemy's tanks?,"[""They ran away quickly"", ""They lay down to hide"", ""They rolled out a cannon to fight"", ""They set up a machine gun""]",plotQA,C,C,D,1.0,0.0,route_112,prob_margin,0.5,lt,224,112,0.5514067560434341,False,False,0.5514067560434341,False,False,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,346,case1_high_confidence,4,1274,0.5860165593,5,2174,2026
1088,"{""choices"": ""[\""in the dustbin\"", \""in the refrigerator\"", \""in the sink\"", \""on the floor\""]"", ""correct_choice"": ""A"", ""question"": ""Where did I throw the trash from the plate?"", ""video_id"": ""3_ego/ego_50""}",3_ego/ego_50,Where did I throw the trash from the plate?,"[""in the dustbin"", ""in the refrigerator"", ""in the sink"", ""on the floor""]",ego,A,C,C,0.0,0.0,tie,prob_margin,0.5,lt,224,112,0.06006506085395813,True,True,0.06006506085395813,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,1088,case2_low_confidence_agree,0,562,0.2585096596,5,2174,2026
1564,"{""choices"": ""[\""shredding paper --> clean and jerk --> playing trombone --> javelin throw\"", \""javelin throw --> shredding paper --> playing trombone --> clean and jerk\"", \""clean and jerk --> javelin throw --> playing trombone --> shredding paper\"", \""shredding paper --> javelin throw --> clean and jerk --> playing trombone\""]"", ""correct_choice"": ""B"", ""question"": ""Can you tell me which option represents the actual order of actions shown in the video?"", ""video_id"": ""5_order/order_256""}",5_order/order_256,Can you tell me which option represents the actual order of actions shown in the video?,"[""shredding paper --> clean and jerk --> playing trombone --> javelin throw"", ""javelin throw --> shredding paper --> playing trombone --> clean and jerk"", ""clean and jerk --> javelin throw --> playing trombone --> shredding paper"", ""shredding paper --> javelin throw --> clean and jerk --> playing trombone""]",order,B,D,D,0.0,0.0,tie,prob_margin,0.5,lt,224,112,0.3798372149467468,True,True,0.3798372149467468,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,1564,case2_low_confidence_agree,1,562,0.2585096596,5,2174,2026
2152,"{""choices"": ""[\""Criminal Investigation\"", \""Wedding Scene\"", \""Drama Performance\"", \""Chase Incident\""]"", ""correct_choice"": ""A"", ""question"": ""What story does the whole video tell?"", ""video_id"": ""7_topic_reasoning/movie101_86""}",7_topic_reasoning/movie101_86,What story does the whole video tell?,"[""Criminal Investigation"", ""Wedding Scene"", ""Drama Performance"", ""Chase Incident""]",topic_reasoning,A,C,C,0.0,0.0,tie,prob_margin,0.5,lt,224,112,0.4257795512676239,True,True,0.4257795512676239,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,2152,case2_low_confidence_agree,2,562,0.2585096596,5,2174,2026
1711,"{""choices"": ""[\""Shooting\"", \""Fighting\"", \""Assault\"", \""Arson\""]"", ""correct_choice"": ""B"", ""question"": ""Does this surveillance footage contain any anomalies? If yes, which kind of anomaly?"", ""video_id"": ""6_anomaly_reco/surveil_0""}",6_anomaly_reco/surveil_0,"Does this surveillance footage contain any anomalies? If yes, which kind of anomaly?","[""Shooting"", ""Fighting"", ""Assault"", ""Arson""]",anomaly_reco,B,B,B,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.2934253215789795,True,True,0.2934253215789795,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,1711,case2_low_confidence_agree,3,562,0.2585096596,5,2174,2026
1597,"{""choices"": ""[\""clean and jerk --> jetskiing --> pole vault --> javelin throw\"", \""jetskiing --> pole vault --> clean and jerk --> javelin throw\"", \""pole vault --> jetskiing --> clean and jerk --> javelin throw\"", \""javelin throw --> jetskiing --> pole vault --> clean and jerk\""]"", ""correct_choice"": ""C"", ""question"": ""Which of the following options correctly matches the sequence of actions as they actually appear in the video?"", ""video_id"": ""5_order/order_290""}",5_order/order_290,Which of the following options correctly matches the sequence of actions as they actually appear in the video?,"[""clean and jerk --> jetskiing --> pole vault --> javelin throw"", ""jetskiing --> pole vault --> clean and jerk --> javelin throw"", ""pole vault --> jetskiing --> clean and jerk --> javelin throw"", ""javelin throw --> jetskiing --> pole vault --> clean and jerk""]",order,C,C,C,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.18826758861541748,True,True,0.18826758861541748,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,1597,case2_low_confidence_agree,4,562,0.2585096596,5,2174,2026
