example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response
16,"{""choices"": ""[\""Rolled over the man's paper\"", \""Chewed on the man's pen\"", \""Knocked over the man's pen\"", \""Pawed at the man's sleeve\"", \""Knocked over the man's coffee\"", \""Sat on the man's keyboard\""]"", ""correct_choice"": ""C"", ""question"": ""What did the little tabby cat do when the man in white clothes was writing in the video?"", ""video_id"": ""-YO14FM76lY""}",-YO14FM76lY,What did the little tabby cat do when the man in white clothes was writing in the video?,"[""Rolled over the man's paper"", ""Chewed on the man's pen"", ""Knocked over the man's pen"", ""Pawed at the man's sleeve"", ""Knocked over the man's coffee"", ""Sat on the man's keyboard""]",Humor/funny / Event Perception,C,D,C,0.0,1.0,route_224,prob_margin,0.4,lt,0.033360958099365234,True,False,llm,llm_verifier_disagreement,route_224,X,0.58,"X has slightly better top1 probability and lower entropy overall; both are close, but X is a bit stronger.",,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.58,""reason"":""X has slightly better top1 probability and lower entropy overall; both are close, but X is a bit stronger.""}"
32,"{""choices"": ""[\""charcoal\"", \""dark gray\"", \""slate\"", \""black\"", \""iron\"", \""metallic\""]"", ""correct_choice"": ""D"", ""question"": ""What color shelf is the black plastic basket pushed onto in the video?"", ""video_id"": ""02LnK6fEdJw""}",02LnK6fEdJw,What color shelf is the black plastic basket pushed onto in the video?,"[""charcoal"", ""dark gray"", ""slate"", ""black"", ""iron"", ""metallic""]",Embodied Expert / Entity Perception,D,F,D,0.0,1.0,route_224,prob_margin,0.4,lt,0.20902439951896667,True,False,llm,llm_verifier_disagreement,route_112,Y,0.74,"Y has stronger confidence signals overall (higher top1_prob, prob_margin, and logit_margin), so it is more likely correct.",,224,112,0.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.74,""reason"":""Y has stronger confidence signals overall (higher top1_prob, prob_margin, and logit_margin), so it is more likely correct.""}"
38,"{""choices"": ""[\""2 types\"", \""3 types\"", \""1 type\"", \""7 types\"", \""4 types\"", \""5 types\"", \""6 types\""]"", ""correct_choice"": ""E"", ""question"": ""How many colors of lip gloss did the heroine in the video apply on her hands?"", ""video_id"": ""07QhrrI5B4k""}",07QhrrI5B4k,How many colors of lip gloss did the heroine in the video apply on her hands?,"[""2 types"", ""3 types"", ""1 type"", ""7 types"", ""4 types"", ""5 types"", ""6 types""]",Life Record / Event Perception,E,E,B,1.0,0.0,route_112,prob_margin,0.4,lt,0.0,True,False,llm,llm_verifier_disagreement,route_112,Y,0.67,"Y has higher top1 probability and a clear margin over the runner-up, while X is tied with no margin.",,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.67,""reason"":""Y has higher top1 probability and a clear margin over the runner-up, while X is tied with no margin.""}"
43,"{""choices"": ""[\""Fix her hair and adjust her hat\"", \""Pick up a ring and examine it\"", \""Switch to a different pair of earrings\"", \""Take off the earrings and put them on\"", \""Remove a bracelet and place it aside\"", \""Put on a necklace and adjust it\"", \""Take off a watch and set it down\""]"", ""correct_choice"": ""D"", ""question"": ""What did the heroine do in the video between [[15:47,15:56]]?"", ""video_id"": ""07QhrrI5B4k""}",07QhrrI5B4k,"What did the heroine do in the video between [[15:47,15:56]]?","[""Fix her hair and adjust her hat"", ""Pick up a ring and examine it"", ""Switch to a different pair of earrings"", ""Take off the earrings and put them on"", ""Remove a bracelet and place it aside"", ""Put on a necklace and adjust it"", ""Take off a watch and set it down""]",Life Record / Time Perception,D,D,A,1.0,0.0,route_112,prob_margin,0.4,lt,0.26566968858242035,True,False,llm,llm_verifier_disagreement,route_224,Y,0.74,"Y has clearly stronger confidence signals: higher top1_prob, larger prob_margin and logit_margin, with lower entropy.",,224,224,0.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.74,""reason"":""Y has clearly stronger confidence signals: higher top1_prob, larger prob_margin and logit_margin, with lower entropy.""}"
47,"{""choices"": ""[\""Thomas Hibbert\"", \""Thompson Hebert\"", \""Timothy Haber\"", \""Thomas Heberer\"", \""Thomas Harbert\"", \""James Herbert\"", \""Michael Weber\"", \""Jonathan Heber\""]"", ""correct_choice"": ""D"", ""question"": ""In the video, there is a man in a brown suit being interviewed. What words appear in the lower left corner of the screen?"", ""video_id"": ""0coUiuG5gG4""}",0coUiuG5gG4,"In the video, there is a man in a brown suit being interviewed. What words appear in the lower left corner of the screen?","[""Thomas Hibbert"", ""Thompson Hebert"", ""Timothy Haber"", ""Thomas Heberer"", ""Thomas Harbert"", ""James Herbert"", ""Michael Weber"", ""Jonathan Heber""]",Instruction & Knowledge / Text Perception,D,A,D,0.0,1.0,route_224,prob_margin,0.4,lt,0.12111696600914001,True,False,llm,llm_verifier_disagreement,route_112,X,0.89,X has much stronger confidence margins and lower uncertainty; its answer is more likely.,,224,112,0.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.89,""reason"":""X has much stronger confidence margins and lower uncertainty; its answer is more likely.""}"
54,"{""choices"": ""[\""rabbit\"", \""squirrel\"", \""swan\"", \""cat\"", \""bird\"", \""duck\"", \""butterfly\""]"", ""correct_choice"": ""E"", ""question"": ""What animal appears on the path opposite the blue tent in the video?"", ""video_id"": ""0d4kyhFahhk""}",0d4kyhFahhk,What animal appears on the path opposite the blue tent in the video?,"[""rabbit"", ""squirrel"", ""swan"", ""cat"", ""bird"", ""duck"", ""butterfly""]",Life Record / Entity Perception,E,F,E,0.0,1.0,route_224,prob_margin,0.4,lt,0.25997617840766907,True,False,llm,llm_verifier_disagreement,route_112,X,0.67,"X has slightly stronger overall confidence: higher top1/prob margin and lower entropy, despite Y's small logit edge.",,224,112,0.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.67,""reason"":""X has slightly stronger overall confidence: higher top1/prob margin and lower entropy, despite Y's small logit edge.""}"
63,"{""choices"": ""[\""5\"", \""1\"", \""8\"", \""2\"", \""4\"", \""6\"", \""0\"", \""3\""]"", ""correct_choice"": ""B"", ""question"": ""How many handbags did the girl wearing a hat and eating ice cream in the video carry?"", ""video_id"": ""11AiHQqX7CU""}",11AiHQqX7CU,How many handbags did the girl wearing a hat and eating ice cream in the video carry?,"[""5"", ""1"", ""8"", ""2"", ""4"", ""6"", ""0"", ""3""]",Embodied Expert / Entity Perception,B,B,G,1.0,0.0,route_112,prob_margin,0.4,lt,0.17431741952896118,True,False,llm,llm_verifier_disagreement,route_224,Y,0.67,"Y has higher top1/prob margin and lower entropy, so it looks more confident.",,224,224,0.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.67,""reason"":""Y has higher top1/prob margin and lower entropy, so it looks more confident.""}"
66,"{""choices"": ""[\""graphite\"", \""dark gray\"", \""navy\"", \""charcoal\"", \""slate\"", \""midnight blue\"", \""black\""]"", ""correct_choice"": ""G"", ""question"": ""What color shirt is the boy wearing in the video who is walking and talking on the phone with a white bag in his hand?"", ""video_id"": ""11AiHQqX7CU""}",11AiHQqX7CU,What color shirt is the boy wearing in the video who is walking and talking on the phone with a white bag in his hand?,"[""graphite"", ""dark gray"", ""navy"", ""charcoal"", ""slate"", ""midnight blue"", ""black""]",Embodied Expert / Entity Perception,G,G,C,1.0,0.0,route_112,prob_margin,0.4,lt,0.0,True,False,llm,llm_verifier_disagreement,route_112,X,0.64,"X has stronger confidence signals overall: higher top1_prob, clear prob/logit margins, and slightly lower entropy.",,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.64,""reason"":""X has stronger confidence signals overall: higher top1_prob, clear prob/logit margins, and slightly lower entropy.""}"
67,"{""choices"": ""[\""green\"", \""orange\"", \""white\"", \""yellow\"", \""pink\"", \""red\"", \""blue\""]"", ""correct_choice"": ""D"", ""question"": ""What color top is the girl wearing a helmet and riding a white electric bike under the coconut tree in the video?"", ""video_id"": ""11AiHQqX7CU""}",11AiHQqX7CU,What color top is the girl wearing a helmet and riding a white electric bike under the coconut tree in the video?,"[""green"", ""orange"", ""white"", ""yellow"", ""pink"", ""red"", ""blue""]",Embodied Expert / Entity Perception,D,D,E,1.0,0.0,route_112,prob_margin,0.4,lt,0.19982697069644928,True,False,llm,llm_verifier_disagreement,route_224,X,0.62,"X has stronger confidence signals overall: higher top1_prob, larger margin, and lower entropy than Y.",,224,224,0.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.62,""reason"":""X has stronger confidence signals overall: higher top1_prob, larger margin, and lower entropy than Y.""}"
79,"{""choices"": ""[\""In order to change a burnt-out bulb in the kitchen light\"", \""In order to inspect the upper cabinets for dust\"", \""In order to adjust the lighting above the countertop\"", \""In order to wipe the entire part of the range hood\"", \""In order to reach a plant on top of the cabinet\"", \""In order to reorganize items stored on the upper shelf\"", \""In order to check for any loose parts in the range hood\"", \""In order to retrieve a cleaning tool from a high shelf\""]"", ""correct_choice"": ""D"", ""question"": ""Why does the protagonist in the video move a stool and stand on the kitchen countertop after cleaning the range hood rectifier?"", ""video_id"": ""1k6pIrI-lDM""}",1k6pIrI-lDM,Why does the protagonist in the video move a stool and stand on the kitchen countertop after cleaning the range hood rectifier?,"[""In order to change a burnt-out bulb in the kitchen light"", ""In order to inspect the upper cabinets for dust"", ""In order to adjust the lighting above the countertop"", ""In order to wipe the entire part of the range hood"", ""In order to reach a plant on top of the cabinet"", ""In order to reorganize items stored on the upper shelf"", ""In order to check for any loose parts in the range hood"", ""In order to retrieve a cleaning tool from a high shelf""]",Instruction & Knowledge / Entity Cognition,D,D,B,1.0,0.0,route_112,prob_margin,0.4,lt,0.25730451941490173,True,False,llm,llm_verifier_disagreement,route_112,X,0.72,"X has stronger confidence across all key signals, and wiping the range hood fits the prior cleaning context better than inspecting cabinets.",,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.72,""reason"":""X has stronger confidence across all key signals, and wiping the range hood fits the prior cleaning context better than inspecting cabinets.""}"
