example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response
12,"{""choices"": ""[\""Magazine\"", \""Carton\"", \""Crate\"", \""Basket\"", \""Bowl\"", \""Shelf\"", \""Paper\"", \""Box\""]"", ""correct_choice"": ""B"", ""question"": ""In the video, when the white cat is walking, what is behind it?"", ""video_id"": ""-YO14FM76lY""}",-YO14FM76lY,"In the video, when the white cat is walking, what is behind it?","[""Magazine"", ""Carton"", ""Crate"", ""Basket"", ""Bowl"", ""Shelf"", ""Paper"", ""Box""]",Humor/funny / Entity Perception,B,D,B,0.0,1.0,route_224,prob_margin,0.4,lt,0.0,True,False,llm,llm_verifier_disagreement,route_112,X,0.58,"X has slightly stronger confidence across margin and entropy, while Y is tied on top probability and was low-confidence.",,224,112,0.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.58,""reason"":""X has slightly stronger confidence across margin and entropy, while Y is tied on top probability and was low-confidence.""}"
13,"{""choices"": ""[\""Small teddy bear\"", \""Little doll\"", \""Toy mouse\"", \""Baby elephant figurine\"", \""Tiny plush lion\"", \""Mini clown figure\"", \""Small toy rabbit\"", \""Miniature stuffed dog\""]"", ""correct_choice"": ""A"", ""question"": ""In the video, when the white cat sits on the sweeping robot, what is it carrying?"", ""video_id"": ""-YO14FM76lY""}",-YO14FM76lY,"In the video, when the white cat sits on the sweeping robot, what is it carrying?","[""Small teddy bear"", ""Little doll"", ""Toy mouse"", ""Baby elephant figurine"", ""Tiny plush lion"", ""Mini clown figure"", ""Small toy rabbit"", ""Miniature stuffed dog""]",Humor/funny / Entity Perception,A,C,G,0.0,0.0,tie,prob_margin,0.4,lt,0.06820854544639587,True,False,llm,llm_verifier_disagreement,route_224,X,0.58,"X has slightly stronger confidence across margin and entropy features, so it looks more likely.",,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.58,""reason"":""X has slightly stronger confidence across margin and entropy features, so it looks more likely.""}"
15,"{""choices"": ""[\""matte black\"", \""navy blue\"", \""rusty iron\"", \""dark grey\"", \""deep brown\"", \""black\"", \""charcoal\""]"", ""correct_choice"": ""F"", ""question"": ""What color is the iron rack above the two cats fighting in the video?"", ""video_id"": ""-YO14FM76lY""}",-YO14FM76lY,What color is the iron rack above the two cats fighting in the video?,"[""matte black"", ""navy blue"", ""rusty iron"", ""dark grey"", ""deep brown"", ""black"", ""charcoal""]",Humor/funny / Entity Perception,F,C,A,0.0,0.0,tie,prob_margin,0.4,lt,0.037868648767471313,True,False,llm,llm_verifier_disagreement,route_112,Y,0.67,"Y has stronger confidence signals overall (higher top1/prob margin, lower entropy), and rusty iron is plausible for an iron rack.",,224,112,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.67,""reason"":""Y has stronger confidence signals overall (higher top1/prob margin, lower entropy), and rusty iron is plausible for an iron rack.""}"
16,"{""choices"": ""[\""Rolled over the man's paper\"", \""Chewed on the man's pen\"", \""Knocked over the man's pen\"", \""Pawed at the man's sleeve\"", \""Knocked over the man's coffee\"", \""Sat on the man's keyboard\""]"", ""correct_choice"": ""C"", ""question"": ""What did the little tabby cat do when the man in white clothes was writing in the video?"", ""video_id"": ""-YO14FM76lY""}",-YO14FM76lY,What did the little tabby cat do when the man in white clothes was writing in the video?,"[""Rolled over the man's paper"", ""Chewed on the man's pen"", ""Knocked over the man's pen"", ""Pawed at the man's sleeve"", ""Knocked over the man's coffee"", ""Sat on the man's keyboard""]",Humor/funny / Event Perception,C,D,C,0.0,1.0,route_224,prob_margin,0.4,lt,0.033360958099365234,True,False,llm,llm_verifier_disagreement,route_224,X,0.58,X has slightly better overall confidence signals and matches a plausible cat-interrupting-writing action better than sleeve pawing.,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.58,""reason"":""X has slightly better overall confidence signals and matches a plausible cat-interrupting-writing action better than sleeve pawing.""}"
23,"{""choices"": ""[\""No chains can bind the spirit of freedom\"", \""A soul at peace fears no shadow\"", \""War has no right to imprison an unfettered soul\"", \""Freedom is the destiny of the awakened mind\"", \""An unyielding heart is beyond the reach of tyranny\"", \""True strength lies in the heart unencumbered by chains\"", \""The path of peace lies in letting go of fear\"", \""Only wisdom can defeat the darkness within\""]"", ""correct_choice"": ""C"", ""question"": ""What did the long-haired man in white understand when he talked to the monkey in the video?"", ""video_id"": ""-l2_zQBeEOo""}",-l2_zQBeEOo,What did the long-haired man in white understand when he talked to the monkey in the video?,"[""No chains can bind the spirit of freedom"", ""A soul at peace fears no shadow"", ""War has no right to imprison an unfettered soul"", ""Freedom is the destiny of the awakened mind"", ""An unyielding heart is beyond the reach of tyranny"", ""True strength lies in the heart unencumbered by chains"", ""The path of peace lies in letting go of fear"", ""Only wisdom can defeat the darkness within""]",Electonic/Social Gaming / Event Perception,C,A,F,0.0,0.0,tie,prob_margin,0.4,lt,0.05294486880302429,True,False,llm,llm_verifier_disagreement,route_112,X,0.58,"Both are similar, but X has slightly better margin and lower entropy overall, and its wording matches the common freedom/chains phrasing more directly.",,224,112,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.58,""reason"":""Both are similar, but X has slightly better margin and lower entropy overall, and its wording matches the common freedom/chains phrasing more directly.""}"
24,"{""choices"": ""[\""Take heed, son, you can walk away whenever needed without claiming Sun Wukong's title.\"", \""Remember, my son, you are free to choose your own path without following Wukong.\"", \""Listen to me son, you can run anytime you want without having to bear the name of Sun Wukong\"", \""Hear me well, son, your journey is yours alone, not defined by Wukong.\"", \""Remember, my boy, you need not carry the burden of being Sun Wukong.\"", \""Listen closely, son, you should retreat when necessary without being tied to Wukong's legacy.\""]"", ""correct_choice"": ""C"", ""question"": ""What did the monkey behind the monkey in armor say to him when he was leaving in the video?"", ""video_id"": ""-l2_zQBeEOo""}",-l2_zQBeEOo,What did the monkey behind the monkey in armor say to him when he was leaving in the video?,"[""Take heed, son, you can walk away whenever needed without claiming Sun Wukong's title."", ""Remember, my son, you are free to choose your own path without following Wukong."", ""Listen to me son, you can run anytime you want without having to bear the name of Sun Wukong"", ""Hear me well, son, your journey is yours alone, not defined by Wukong."", ""Remember, my boy, you need not carry the burden of being Sun Wukong."", ""Listen closely, son, you should retreat when necessary without being tied to Wukong's legacy.""]",Electonic/Social Gaming / Event Perception,C,A,E,0.0,0.0,tie,prob_margin,0.4,lt,0.03876209259033203,True,False,llm,llm_verifier_disagreement,route_224,X,0.61,"X has higher top1/prob margin and lower entropy, and its wording matches the likely paraphrase about not bearing Sun Wukong’s burden.",,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.61,""reason"":""X has higher top1/prob margin and lower entropy, and its wording matches the likely paraphrase about not bearing Sun Wukong’s burden.""}"
28,"{""choices"": ""[\""bright\"", \""windy\"", \""misty\"", \""stormy\"", \""cloudy\"", \""sunny\"", \""overcast\""]"", ""correct_choice"": ""F"", ""question"": ""What was the weather condition like when the two identical monkeys were fighting in the video?"", ""video_id"": ""-l2_zQBeEOo""}",-l2_zQBeEOo,What was the weather condition like when the two identical monkeys were fighting in the video?,"[""bright"", ""windy"", ""misty"", ""stormy"", ""cloudy"", ""sunny"", ""overcast""]",Electonic/Social Gaming / Scene Perception,F,D,C,0.0,0.0,tie,prob_margin,0.4,lt,0.15611834824085236,True,False,llm,llm_verifier_disagreement,route_224,X,0.58,"X has slightly better overall confidence signals and lower entropy; both are uncertain, but misty seems more plausible than stormy.",,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.58,""reason"":""X has slightly better overall confidence signals and lower entropy; both are uncertain, but misty seems more plausible than stormy.""}"
31,"{""choices"": ""[\""Near the orange milk cartons\"", \""Next to the milk crates\"", \""Beside the empty bottles\"", \""On paper form\"", \""On a stack of boxes\"", \""On the edge of the shelf\""]"", ""correct_choice"": ""D"", ""question"": ""In the video, where did the protagonist put the barcode scanner after scanning the label of brown milk with it?"", ""video_id"": ""02LnK6fEdJw""}",02LnK6fEdJw,"In the video, where did the protagonist put the barcode scanner after scanning the label of brown milk with it?","[""Near the orange milk cartons"", ""Next to the milk crates"", ""Beside the empty bottles"", ""On paper form"", ""On a stack of boxes"", ""On the edge of the shelf""]",Embodied Expert / Scene Perception,D,B,F,0.0,0.0,tie,prob_margin,0.4,lt,0.07883882522583008,True,False,llm,llm_verifier_disagreement,route_224,Y,0.58,"Y has higher top1_prob and prob_margin, and lower entropy, so it looks slightly more likely.",,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.58,""reason"":""Y has higher top1_prob and prob_margin, and lower entropy, so it looks slightly more likely.""}"
32,"{""choices"": ""[\""charcoal\"", \""dark gray\"", \""slate\"", \""black\"", \""iron\"", \""metallic\""]"", ""correct_choice"": ""D"", ""question"": ""What color shelf is the black plastic basket pushed onto in the video?"", ""video_id"": ""02LnK6fEdJw""}",02LnK6fEdJw,What color shelf is the black plastic basket pushed onto in the video?,"[""charcoal"", ""dark gray"", ""slate"", ""black"", ""iron"", ""metallic""]",Embodied Expert / Entity Perception,D,F,D,0.0,1.0,route_224,prob_margin,0.4,lt,0.20902439951896667,True,False,llm,llm_verifier_disagreement,route_112,Y,0.72,"Y has stronger confidence margins overall, especially prob_margin and logit_margin, so it is more likely correct.",,224,112,0.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.72,""reason"":""Y has stronger confidence margins overall, especially prob_margin and logit_margin, so it is more likely correct.""}"
36,"{""choices"": ""[\""Silver metal shelf\"", \""White plastic tray\"", \""Wooden clipboard\"", \""Black plastic frame\"", \""Green plastic bin\"", \""Blue metal rack\""]"", ""correct_choice"": ""D"", ""question"": ""When the barcode scanner in the video scans the paper form, where is the paper form placed?"", ""video_id"": ""02LnK6fEdJw""}",02LnK6fEdJw,"When the barcode scanner in the video scans the paper form, where is the paper form placed?","[""Silver metal shelf"", ""White plastic tray"", ""Wooden clipboard"", ""Black plastic frame"", ""Green plastic bin"", ""Blue metal rack""]",Embodied Expert / Scene Perception,D,C,B,0.0,0.0,tie,prob_margin,0.4,lt,0.053499042987823486,True,False,llm,llm_verifier_disagreement,route_112,Y,0.67,"Y has much stronger margin and lower entropy, suggesting a more decisive prediction despite X's slightly higher top1 probability.",,224,112,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/full/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.67,""reason"":""Y has much stronger margin and lower entropy, suggesting a more decisive prediction despite X's slightly higher top1 probability.""}"
