fold,input_mode,video_id,question,choices,task,gold_label,pred_label,pred_confidence,acc112,acc224,routed_acc
1,question_choices,-hgaSElC3wU,"From how other cats treat the cat with the white cane, we can infer about its status?","[""There is no such thing as status for cats"", ""Its status is very high"", ""Its status is very low"", ""Its status is similar to theirs""]","reasoning, entity recognition",tie,tie,0.5186395536044456,1.0,1.0,1.0
1,question_choices,-hgaSElC3wU,How do cats communicate their thoughts?,"[""By reciting"", ""By sleeping"", ""By singing"", ""By talking""]","event understanding, entity recognition",tie,tie,0.5077586314195254,0.0,0.0,0.0
1,question_choices,-hgaSElC3wU,What color skirts do cats holding white fans wear?,"[""Blue"", ""White"", ""Black"", ""Red""]",entity recognition,tie,route_112,0.5893410738076141,1.0,1.0,1.0
1,question_choices,-hgaSElC3wU,What is the game the two children play with the two calico cats?,"[""Over under relay"", ""Tag"", ""Duck, duck, goose"", ""Leapfrog""]","event understanding, reasoning, entity recognition",tie,tie,0.5157224450470201,0.0,0.0,0.0
1,question_choices,-hgaSElC3wU,What is the planet hanging on the stage background?,"[""Sun"", ""Earth"", ""Moon"", ""Mars""]",entity recognition,tie,tie,0.512285250210313,1.0,1.0,1.0
1,question_choices,-hgaSElC3wU,What kind of hat does the little boy wear?,"[""Cowboy hat"", ""Beret"", ""Baseball cap"", ""Top hat""]",entity recognition,tie,tie,0.5131496602578446,0.0,0.0,0.0
1,question_choices,-hgaSElC3wU,What letter is on the black board placed on the second floor of the background?,"[""Matches"", ""Poker"", ""Fire"", ""Stop""]","key information retrieval, event understanding",tie,tie,0.5069396633072923,0.0,0.0,0.0
1,question_choices,-hgaSElC3wU,"Which movement does the cat, wearing a sparkling black suit, black bow tie, and tight pants, perform?","[""Split"", ""Moonwalk"", ""Twerk"", ""Krump""]",entity recognition,tie,tie,0.5297392588480085,0.0,0.0,0.0
1,question_choices,20lTg3yUrO4,How many parcels of Cannabis do men arrest with in Kogi State?,"[""520"", ""600"", ""500"", ""620""]",event understanding,tie,tie,0.5104785571485471,0.0,0.0,0.0
1,question_choices,20lTg3yUrO4,How was news of the 'Dosumu fire disaster' be reported in the video?,"[""First, the news was introduced by the host in the studio with a video of the news in the background and then the video was enlarged with tittle at the bottom. Then the scene played the video of the news with people interviewed in the studio"", ""First, the news was introduced by the host in the studio with a picture of the news in the background and then the picture was enlarged with tittle at the bottom. Then the scene played the video of the news with people interviewed in the studio"", ""First, the news was introduced by the host in the studio with a picture of the news in the background and then the picture was enlarged with tittle at the bottom. Then the scene played the video of the news with people interviewed in the video"", ""First, the news was introduced by the host in the studio with a video of the news in the background and then the video was enlarged with tittle at the bottom. Then the scene played the video of the news with people interviewed in the video""]",summarization,tie,tie,0.5027248538217516,0.0,0.0,0.0
1,question_choices,20lTg3yUrO4,"In which topic does a man wearing a beige cowboy hat, standing in front of a green podium appear while talking to a red microphone?","[""River Politics"", ""Electricity Tarrif Hike"", ""Lagos Market Fire Aftermath"", ""Drug Trafficking""]","event understanding, entity recognition",route_224,tie,0.502015065099257,0.0,1.0,0.0
1,question_choices,20lTg3yUrO4,In which topic does a woman wearing a blue hat with the letter Aseyori Lekan Si appear?,"[""Another Twist in Rivers Politics"", ""APC Primary Election"", ""Emohua Residents Restate Support For Wike"", ""Drug Trafficking""]","event understanding, key information retrieval",tie,tie,0.5114357933871242,0.0,0.0,0.0
1,question_choices,20lTg3yUrO4,What color suit is the female anchor who also has a chest bracelet and gold bracelet?,"[""Grey"", ""Pink"", ""Purple"", ""Black""]",entity recognition,tie,tie,0.5119167686011015,0.0,0.0,0.0
1,question_choices,20lTg3yUrO4,What is displayed on the screen in the new alive room right before an advertisement featuring Cardi B?,"[""I AM SORRY, VIETNAMESES"", ""I AM SORRY, MALAYSIANS"", ""I AM SORRY, NIGERIANS"", ""I AM SORRY, INDONESIANS""]","entity recognition, event understanding, key information retrieval",tie,route_224,0.5534170614190121,1.0,1.0,1.0
1,question_choices,20lTg3yUrO4,What topic has a scene that includes three Toyota SUV police cars?,"[""More buildings go down Lagos Island"", ""Plateau IDPS"", ""Lagos Market Fire Aftermath"", ""Ogbonnaya Onu dies at 72""]","event understanding, entity recognition",tie,tie,0.538248267109954,0.0,0.0,0.0
