example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,min_fs112_verifier_confidence,fs112_confidence_fallback,fs112_confidence_fallback_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response,_routed_row_index,latency_case,latency_sample_index,case_full_count,case_full_ratio,case_sample_count,full_total_count,sample_seed
1556,"{""choices"": ""[\""four\"", \""six\"", \""five\"", \""three\"", \""zero\"", \""one\"", \""two\""]"", ""correct_choice"": ""G"", ""question"": ""How many girls in nun costumes are there in the video?"", ""video_id"": ""BV15w411s7kE""}",BV15w411s7kE,How many girls in nun costumes are there in the video?,"[""four"", ""six"", ""five"", ""three"", ""zero"", ""one"", ""two""]",Art & Culture / Entity Perception,G,D,D,0.0,0.0,tie,prob_margin,0.15,lt,0.36767342686653137,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,1556,case1_high_confidence,0,7571,0.6242579156,5,12128,2026
4209,"{""choices"": ""[\""event organizer\"", \""manager\"", \""announcer\"", \""producer\"", \""choreographer\"", \""host\"", \""judge\""]"", ""correct_choice"": ""F"", ""question"": ""In the video, there is a girl in a suit standing behind the two dancers on the stage. What is her identity?"", ""video_id"": ""BV1Uz4y1c7aK""}",BV1Uz4y1c7aK,"In the video, there is a girl in a suit standing behind the two dancers on the stage. What is her identity?","[""event organizer"", ""manager"", ""announcer"", ""producer"", ""choreographer"", ""host"", ""judge""]",Music & TV show / Entity Cognition,F,G,G,0.0,0.0,tie,prob_margin,0.15,lt,0.9062295760959387,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,4209,case1_high_confidence,1,7571,0.6242579156,5,12128,2026
6627,"{""choices"": ""[\""350,000 pairs\"", \""200,000 pairs\"", \""100,000 pairs\"", \""150,000 pairs\"", \""250,000 pairs\"", \""300,000 pairs\"", \""275,000 pairs\""]"", ""correct_choice"": ""E"", ""question"": ""In the video, it is mentioned how many pairs of ballet shoes are produced in London every year to supply most of the world's ballet companies and top dancers?"", ""video_id"": ""BV1th411W795""}",BV1th411W795,"In the video, it is mentioned how many pairs of ballet shoes are produced in London every year to supply most of the world's ballet companies and top dancers?","[""350,000 pairs"", ""200,000 pairs"", ""100,000 pairs"", ""150,000 pairs"", ""250,000 pairs"", ""300,000 pairs"", ""275,000 pairs""]",Special Scenes / Entity Perception,E,G,A,0.0,0.0,tie,prob_margin,0.15,lt,0.4014103412628174,False,False,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,6627,case1_high_confidence,2,7571,0.6242579156,5,12128,2026
6772,"{""choices"": ""[\""pink\"", \""coral\"", \""rose\"", \""fuchsia\"", \""blush\"", \""salmon\"", \""peach\""]"", ""correct_choice"": ""A"", ""question"": ""What color box is inside the express bag on top of the desk in the video?"", ""video_id"": ""BV1vC411p7qV""}",BV1vC411p7qV,What color box is inside the express bag on top of the desk in the video?,"[""pink"", ""coral"", ""rose"", ""fuchsia"", ""blush"", ""salmon"", ""peach""]",Life Record / Entity Perception,A,A,A,1.0,1.0,tie,prob_margin,0.15,lt,0.9766463642008603,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,6772,case1_high_confidence,3,7571,0.6242579156,5,12128,2026
8568,"{""choices"": ""[\""Beside the dishwasher\"", \""Next to the espresso machine\"", \""Behind the counter\"", \""By the glassware rack\"", \""Next to the sink\"", \""Next to the ice machine\"", \""Next to the refrigerator\""]"", ""correct_choice"": ""G"", ""question"": ""In the video, where is the trash can in the bar?"", ""video_id"": ""OHu4WG1Sstg""}",OHu4WG1Sstg,"In the video, where is the trash can in the bar?","[""Beside the dishwasher"", ""Next to the espresso machine"", ""Behind the counter"", ""By the glassware rack"", ""Next to the sink"", ""Next to the ice machine"", ""Next to the refrigerator""]",Embodied Expert / Entity Cognition,G,E,C,0.0,0.0,tie,prob_margin,0.15,lt,0.3341219946742058,False,False,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,8568,case1_high_confidence,4,7571,0.6242579156,5,12128,2026
2079,"{""choices"": ""[\""A yellow box with 'Intense Hydration' written on it\"", \""A yellow box with 'Deep Hydration' written on it\"", \""A yellow box with \\\""High Moisturizing\\\"" written on it\"", \""A yellow box with 'Rich Moisture' written on it\"", \""A yellow box with 'Moisture Boost' written on it\"", \""A yellow box with 'Ultra Moisture' written on it\"", \""A yellow box with 'Instant Nourishment' written on it\""]"", ""correct_choice"": ""C"", ""question"": ""In the video, what did the protagonist introduce after introducing the blue jar cream?"", ""video_id"": ""BV19uWFegERp""}",BV19uWFegERp,"In the video, what did the protagonist introduce after introducing the blue jar cream?","[""A yellow box with 'Intense Hydration' written on it"", ""A yellow box with 'Deep Hydration' written on it"", ""A yellow box with \""High Moisturizing\"" written on it"", ""A yellow box with 'Rich Moisture' written on it"", ""A yellow box with 'Moisture Boost' written on it"", ""A yellow box with 'Ultra Moisture' written on it"", ""A yellow box with 'Instant Nourishment' written on it""]",Life Record / Event Cognition,C,B,B,0.0,0.0,tie,prob_margin,0.15,lt,0.12712325155735016,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,2079,case2_low_confidence_agree,0,2365,0.1950032982,5,12128,2026
4679,"{""choices"": ""[\""11 teaspoons\"", \""8 teaspoons\"", \""14 teaspoons\"", \""15 teaspoons\"", \""10 teaspoons\"", \""16 teaspoons\"", \""12 teaspoons\""]"", ""correct_choice"": ""G"", ""question"": ""The video mentions how much sugar is added to a 500ml bottle of drink in the original recipe?"", ""video_id"": ""BV1ae4y1d78n""}",BV1ae4y1d78n,The video mentions how much sugar is added to a 500ml bottle of drink in the original recipe?,"[""11 teaspoons"", ""8 teaspoons"", ""14 teaspoons"", ""15 teaspoons"", ""10 teaspoons"", ""16 teaspoons"", ""12 teaspoons""]",Special Scenes / Event Perception,G,C,C,0.0,0.0,tie,prob_margin,0.15,lt,0.06646502017974854,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,4679,case2_low_confidence_agree,1,2365,0.1950032982,5,12128,2026
11693,"{""choices"": ""[\""Second from the right\"", \""First from the right\"", \""Third from the left\"", \""Second from the left\"", \""Fifth from the left\"", \""Fourth from the left\"", \""First from the left\""]"", ""correct_choice"": ""G"", ""question"": ""Which of the five pictures is the first example used by the protagonist in the video?"", ""video_id"": ""wdENhL-FxOs""}",wdENhL-FxOs,Which of the five pictures is the first example used by the protagonist in the video?,"[""Second from the right"", ""First from the right"", ""Third from the left"", ""Second from the left"", ""Fifth from the left"", ""Fourth from the left"", ""First from the left""]",GUI / Event Perception,G,D,D,0.0,0.0,tie,prob_margin,0.15,lt,0.03859680891036987,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,11693,case2_low_confidence_agree,2,2365,0.1950032982,5,12128,2026
8880,"{""choices"": ""[\""Yellow\"", \""Orange\"", \""Red\"", \""Green\"", \""Blue\"", \""Pink\""]"", ""correct_choice"": ""B"", ""question"": ""What color is the paintbrush of the girl sitting on the ground and drawing on the drawing board to the right of the stuffed toy in the video?"", ""video_id"": ""S88Me4D1LUA""}",S88Me4D1LUA,What color is the paintbrush of the girl sitting on the ground and drawing on the drawing board to the right of the stuffed toy in the video?,"[""Yellow"", ""Orange"", ""Red"", ""Green"", ""Blue"", ""Pink""]",Life Record / Entity Perception,B,E,E,0.0,0.0,tie,prob_margin,0.15,lt,0.13703152537345886,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,8880,case2_low_confidence_agree,3,2365,0.1950032982,5,12128,2026
12037,"{""choices"": ""[\""1.266666667\"", \""1.282638889\"", \""1.295833333\"", \""1.546875000\"", \""1.317361111\"", \""1.275000000\""]"", ""correct_choice"": ""B"", ""question"": ""When did the third female student in the video make a heart shape when asked if she loved Vietnam?"", ""video_id"": ""zSQ8jW0TuL0""}",zSQ8jW0TuL0,When did the third female student in the video make a heart shape when asked if she loved Vietnam?,"[""1.266666667"", ""1.282638889"", ""1.295833333"", ""1.546875000"", ""1.317361111"", ""1.275000000""]",Music & TV show / Time Perception,B,E,E,0.0,0.0,tie,prob_margin,0.15,lt,0.03084854781627655,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,12037,case2_low_confidence_agree,4,2365,0.1950032982,5,12128,2026
