example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,gate_fs,challenger_fs,default_gate_value,default_low_confidence,default_challenger_agree,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,min_fs112_verifier_confidence,fs112_confidence_fallback,fs112_confidence_fallback_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response,_routed_row_index,latency_case,latency_sample_index,case_full_count,case_full_ratio,case_sample_count,full_total_count,sample_seed
106,"{""choices"": ""[\""Right side of stage\"", \""Second floor on the left\"", \""On the left side of the stage\"", \""Second floor on the right\""]"", ""correct_choice"": ""D"", ""question"": ""Where is the harp player, respective to the people on the stage?"", ""video_id"": ""8QdE--Y-x7U""}",8QdE--Y-x7U,"Where is the harp player, respective to the people on the stage?","[""Right side of stage"", ""Second floor on the left"", ""On the left side of the stage"", ""Second floor on the right""]",entity recognition,D,B,B,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.4615698605775833,False,True,0.4615698605775833,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,106,case1_high_confidence,0,404,0.5466847091,5,739,2026
278,"{""choices"": ""[\""Green\"", \""Red\"", \""Gray\"", \""Black\""]"", ""correct_choice"": ""D"", ""question"": ""What color is the inner layer of clothing worn by the second speaker in the video?"", ""video_id"": ""QB7FoIpx8os""}",QB7FoIpx8os,What color is the inner layer of clothing worn by the second speaker in the video?,"[""Green"", ""Red"", ""Gray"", ""Black""]",entity recognition,D,D,D,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.6391774564981461,False,True,0.6391774564981461,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,278,case1_high_confidence,1,404,0.5466847091,5,739,2026
428,"{""choices"": ""[\""The protagonist flees the fight\"", \""The protagonist injures all the Samurais\"", \""The protagonist spares the last remaining Samurai\"", \""The protagonist kills all the Samurais\""]"", ""correct_choice"": ""A"", ""question"": ""Which sentence best describes the outcome of the fight between the protagonist and the second time she encounters a group of Samurais?"", ""video_id"": ""Za2Z_JRxCuk""}",Za2Z_JRxCuk,Which sentence best describes the outcome of the fight between the protagonist and the second time she encounters a group of Samurais?,"[""The protagonist flees the fight"", ""The protagonist injures all the Samurais"", ""The protagonist spares the last remaining Samurai"", ""The protagonist kills all the Samurais""]",event understanding,A,C,C,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.46017037332057953,False,True,0.46017037332057953,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,428,case1_high_confidence,2,404,0.5466847091,5,739,2026
441,"{""choices"": ""[\""Mikhail\"", \""Staffan\"", \""Eric\"", \""Nathan\""]"", ""correct_choice"": ""A"", ""question"": ""What is the name of the elder who joins the vlogger on their travel?"", ""video_id"": ""_T2Avd3tFHc""}",_T2Avd3tFHc,What is the name of the elder who joins the vlogger on their travel?,"[""Mikhail"", ""Staffan"", ""Eric"", ""Nathan""]","entity recognition, key information retrieval",A,A,A,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.6784603595733643,False,True,0.6784603595733643,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,441,case1_high_confidence,3,404,0.5466847091,5,739,2026
581,"{""choices"": ""[\""She dances with people\"", \""She throws her shoe away\"", \""She walks barefoot\"", \""She fights with a police\""]"", ""correct_choice"": ""A"", ""question"": ""What does the woman do before throwing the Coca-Cola can into the air?"", ""video_id"": ""q01CUy_gwdU""}",q01CUy_gwdU,What does the woman do before throwing the Coca-Cola can into the air?,"[""She dances with people"", ""She throws her shoe away"", ""She walks barefoot"", ""She fights with a police""]","entity recognition, key information retrieval",A,B,B,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.9297898057848215,False,True,0.9297898057848215,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,581,case1_high_confidence,4,404,0.5466847091,5,739,2026
120,"{""choices"": ""[\""1\"", \""5\"", \""2\"", \""4\""]"", ""correct_choice"": ""D"", ""question"": ""How many times does the protagonist knock on the green door?"", ""video_id"": ""Cm73ma6Ibcs""}",Cm73ma6Ibcs,How many times does the protagonist knock on the green door?,"[""1"", ""5"", ""2"", ""4""]",event understanding,D,A,A,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.16102036833763123,True,True,0.16102036833763123,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,120,case2_low_confidence_agree,0,185,0.2503382950,5,739,2026
257,"{""choices"": ""[\""Beth\"", \""Will\"", \""Fran\"", \""Paul\""]"", ""correct_choice"": ""B"", ""question"": ""Who falls and ruptures?"", ""video_id"": ""NzCO0G8AGLU""}",NzCO0G8AGLU,Who falls and ruptures?,"[""Beth"", ""Will"", ""Fran"", ""Paul""]",entity recognition,B,A,A,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.1537797898054123,True,True,0.1537797898054123,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,257,case2_low_confidence_agree,1,185,0.2503382950,5,739,2026
630,"{""choices"": ""[\""Because it's closed on Monday\"", \""Because foreigners are not allowed to enter\"", \""Because the author does not have enough money to buy a ticket\"", \""Because the author has other things to do\""]"", ""correct_choice"": ""A"", ""question"": ""What might be the most likely reason the vlogger doesn't enter the national monument on the first day?"", ""video_id"": ""tH_5YbklevQ""}",tH_5YbklevQ,What might be the most likely reason the vlogger doesn't enter the national monument on the first day?,"[""Because it's closed on Monday"", ""Because foreigners are not allowed to enter"", ""Because the author does not have enough money to buy a ticket"", ""Because the author has other things to do""]",reasoning,A,A,A,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.24748772382736206,True,True,0.24748772382736206,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,630,case2_low_confidence_agree,2,185,0.2503382950,5,739,2026
642,"{""choices"": ""[\""Venus feels under pressure, but she gets the return back\"", \""Venus feels bad that she made a bad error to give her sister game point\"", \""Venus maintains her composure, quickly refocusing for the next point with a determined expression\"", \""Venus shows frustration as she clenches her fist and shakes her head in disappointment\""]"", ""correct_choice"": ""B"", ""question"": ""What is Venus's mood at IBM 163 when she hit the ball out of bounds to make it 30-40?"", ""video_id"": ""tKIFQI9cH2c""}",tKIFQI9cH2c,What is Venus's mood at IBM 163 when she hit the ball out of bounds to make it 30-40?,"[""Venus feels under pressure, but she gets the return back"", ""Venus feels bad that she made a bad error to give her sister game point"", ""Venus maintains her composure, quickly refocusing for the next point with a determined expression"", ""Venus shows frustration as she clenches her fist and shakes her head in disappointment""]",reasoning,B,D,D,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.19222599267959595,True,True,0.19222599267959595,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,642,case2_low_confidence_agree,3,185,0.2503382950,5,739,2026
597,"{""choices"": ""[\""They stands and watch\"", \""There is no audience near the stage\"", \""They sit on chairs and watch\"", \""They try to step onto the stage and watch\""]"", ""correct_choice"": ""A"", ""question"": ""How does the audience near the stage at the first floor watch the performance?"", ""video_id"": ""rk24OUu_kJQ""}",rk24OUu_kJQ,How does the audience near the stage at the first floor watch the performance?,"[""They stands and watch"", ""There is no audience near the stage"", ""They sit on chairs and watch"", ""They try to step onto the stage and watch""]",entity recognition,A,A,A,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.11693555116653442,True,True,0.11693555116653442,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,597,case2_low_confidence_agree,4,185,0.2503382950,5,739,2026
